,날짜,기사제목,기사내용
0,2019.11.05. 오후 3:26,"닭고기 값 떨어졌는데, 치킨은 왜 그대로일까","			[머니투데이 김은령 기자] [닭고기 값 1년전보다 30%↓…""원재료가격 비중 30%뿐, 인건비·배달비용 상승 더 커""] ASF(아프리카돼지열병) 발생 이후 오름세를 보였던 닭고기 값이 최근 2주새 급락했다. 사육 마리수가 꾸준히 증가하는 가운데 야생 조류에서 AI(조류독감)바이러스가 검출됐다는 소식이 더해지며 전년 대비로는 30% 이상 낮은 가격에 거래되고 있다. 내년 상반기까지는 이같은 추세가 지속될 것으로 전망되지만 소매가격이나 치킨 가격에는 반영될 가능성이 낮다. 5일 한국육계협회에 따르면 이날 육계생계 도매가격은 kg당 1190원으로 전주대비 20.1% 하락했다. 전년 대비로는 33.5% 떨어졌다. 9월부터 10월중순까지 ASF 발생으로 대체육류인 닭고기 수요가 높아질 것이란 기대에 일시적으로 오름세를 보였지만 10월 중순 이후 급락세다. 육계업계 관계자는 ""올 하반기 들어 가격이 크게 떨어져 생산원가에 미치지 못하는 가격으로 형성돼 있다""며 ""소비 수요는 정체돼 있는 상황에서 육계 생산성이 높아지며 사육마리수, 도계 마리수가 늘어났기 때문""이라고 설명했다. 육계 시세가 하락세를 보이면서 닭고기 업체의 수익성도 악화되고 있다. 하림, 마니커, 체리부로 등 주요 닭고기 업체들은 지난 상반기 모두 영업적자를 기록하며 부진한 실적을 기록했다. 이 관계자는 ""인건비, 물류비 등 비용 부담은 늘어가는데 가격은 10년전이나 지금이나 비슷한 수준""이라며 ""수급에 따라 가격이 크게 하락하면 적자를 면하기 어려운 구조""라고 말했다. 특히 내년 상반기까지 이같은 흐름이 지속될 전망이다. 농촌경제연구원에 따르면 올해 도계마릿수는 10억6015만마리로 전년보다 5.5% 증가할 전망이며 내년 1월까지도 마릿수가 증가할 전망이다. 특히 내년 4월까지 병아리 생산잠재력은 작년보다 10% 이상 높을 것으로 보여 장기적으로 닭고기 공급과잉이 예상된다.반면 소비자가격은 지난해에 비해 소폭 높은 수준이다. 4일 기준 대형마트나 전통시장에서 판매되는 닭고기 가격은 kg당 5202원으로 전년 5150원에 비해 1% 가량 높다. 육계 도매시세가 일부 반영되지는 하지만 농가-닭고기업체-도매상-소매상을 거치는 유통구조에서 더해지는 비용 때문에 등락 폭이 크지는 않다는 설명이다. 특히 치킨 가격의 경우 최근 몇 년새 인건비, 배달 비용 등의 부담이 높아지면서 원가 하락분을 반영하지 못하고 있다. 지난해 주요 치킨업체는 가격을 직접적으로 인상하거나 배달료를 책정하며 실질적으로 치킨 가격을 올렸다. 치킨업계 1위인 교촌치킨이 지난해 중순 2000원의 배달료를 따로 받기 시작했고 BBQ는 지난해 말 가격 인상을 단행했다. 치킨업계 관계자는 ""가맹점에서 판매하는 치킨 판매가격에서 원재료인 닭고기가 차지하는 비중은 20~30%에 불과하다""며 ""최근 인건비가 상승하고 배달앱, 배달대행이 보편화되면서 관련 비용 부담이 늘어나고 있는 추세""라고 말했다. 김은령 기자 taurus@mt.co.kr▶바람피운 남편 이혼 요구한다면 [변호사상담]▶CEO 만든 엄마의 교육법 [투자노트] ▶네이버 구독 <저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>		"
1,2019.11.25. 오후 12:43,"[강세 토픽] 육계주 테마, 마니커에프앤지 +3.64%, 이지바이오 +3.30%","			[육계주] 테마가 강세다. 전일 대비 1.66% 상승세이다. 마니커에프앤지 +3.64%, 이지바이오(035810)+3.30%, 팜스토리(027710)+2.53% 등이 테마 상승을 이끌고 있다.테마 설명육계란 닭을 사육하여 식용이나 그 밖의 인간 생활에 도움을 주는 부속물 생사하는 축산업의 한 분야. 우리나라의 육계 산업은 종계, 부화, 사육에서 생산, 가공, 유통 판매에 이르기까지 통합적으로 관리하는 육계 계열화 업체에서 약 90% 생산. 다만 국내 닭고기 시장은 40여개의 소규모 업체들이 많이 난립해 있음. 그러나 포장유통 의무화 및 축산물 표시법의 발효로 대형업체의 시장 지배력은 더욱 커질 것으로 예상.소비층이 젊은 층부터 노인 층까지 다양하게 분포되어 있어 경기변동에도 별다른 영향을 받지 않음. 삼복이 있는 여름(6월~8월)에 소비가 큰 폭으로 증가하는 계절적인 영향을 받음. 또한 대형 스포츠 이벤트 시에도 맥주와 어울리는 대표 간식으로 인식돼 주가가 단기적으로 영향을 받기도 함. 원재료인 사료 가격 하락 시, 생계 가격 상승 시 수익성이 좋아져 수혜. 우리나라의 육계 산업은 통닭 위주의 전형적인 닭고기 시장이었으나 최근 들어 프랜차이즈, 외식산업의 발달과 함께 간편성, 편의성에 대한 관심증가로 점차 염장육, 부분육에 대한 수요가 점차 증가하는 추세. 국내 닭고기 시장의 85% 이상이 신선육으로 유통. 국내 육계 시장 규모는 2018년 기준 1조8,000억원 ~ 2조2,000억원 정도로 매년 5~10% 정도 성장. 다만 수입 닭고기 규모가 확대되고 있는 점은 부정적. 2018년 닭고기 자급률은 2017년보다 2.3% 하락한 78.8% 기록.또한 국내에서 조류인플루엔자 발생 시 도살처분 및 발생 국가에서는 수출이 금지되 부정적인 영향을 받음. 하지만 닭고기 공급이 축소되어 가격이 오를 것이란 기대로 주가가 오르기도 함. 대체재로 양돈주, 수산주가 덩달아 오르는 경우도 있음. 또한 다른 종류의 식자재에서 문제 발생 시 대체상품으로 주목받음. 양돈 관련 질병(아프리카돼지열병 등)이 발생할 경우 상승하기도 하며, 일본 원전 오염 바닷물이 국내에 유입됨에 따라 반사이익 기대감으로 주가가 강세를 보이기도 함. (마지막 업데이트 2019. 09.17)※ 토픽은 종목 추천이 아닌 정보 제공을 목적으로 함. 상기 종목의 투자로 인한 책임은 투자자 본인에게 있음.관련 종목육계주 테마 차트3개월 등락률 +2.08%1개월 등락률 -1.61%1주 등락률 -2.45%[이 기사는 증권플러스(두나무)가 자체 개발한 로봇 기자인 'C-Biz봇'이 실시간으로 작성했습니다.][C-Biz봇]chosunbiz.com	[조선비즈 창간 10주년 기획 '다시쓰다 도시3.0' 기사 보러가기]	[네이버 메인에서 조선비즈 받아보기]	[조선비즈 바로가기]"
2,2019.11.21. 오전 9:27,"[강세 토픽] 육계주 테마, 체리부로 +15.75%, 마니커에프앤지 +6.29%","			[육계주] 테마가 강세다. 전일 대비 3.69% 상승세이다. 체리부로(066360)+15.75%, 마니커에프앤지 +6.29%, 마니커(027740)+4.13% 등이 테마 상승을 이끌고 있다.테마 설명육계란 닭을 사육하여 식용이나 그 밖의 인간 생활에 도움을 주는 부속물 생사하는 축산업의 한 분야. 우리나라의 육계 산업은 종계, 부화, 사육에서 생산, 가공, 유통 판매에 이르기까지 통합적으로 관리하는 육계 계열화 업체에서 약 90% 생산. 다만 국내 닭고기 시장은 40여개의 소규모 업체들이 많이 난립해 있음. 그러나 포장유통 의무화 및 축산물 표시법의 발효로 대형업체의 시장 지배력은 더욱 커질 것으로 예상.소비층이 젊은 층부터 노인 층까지 다양하게 분포되어 있어 경기변동에도 별다른 영향을 받지 않음. 삼복이 있는 여름(6월~8월)에 소비가 큰 폭으로 증가하는 계절적인 영향을 받음. 또한 대형 스포츠 이벤트 시에도 맥주와 어울리는 대표 간식으로 인식돼 주가가 단기적으로 영향을 받기도 함. 원재료인 사료 가격 하락 시, 생계 가격 상승 시 수익성이 좋아져 수혜. 우리나라의 육계 산업은 통닭 위주의 전형적인 닭고기 시장이었으나 최근 들어 프랜차이즈, 외식산업의 발달과 함께 간편성, 편의성에 대한 관심증가로 점차 염장육, 부분육에 대한 수요가 점차 증가하는 추세. 국내 닭고기 시장의 85% 이상이 신선육으로 유통. 국내 육계 시장 규모는 2018년 기준 1조8,000억원 ~ 2조2,000억원 정도로 매년 5~10% 정도 성장. 다만 수입 닭고기 규모가 확대되고 있는 점은 부정적. 2018년 닭고기 자급률은 2017년보다 2.3% 하락한 78.8% 기록.또한 국내에서 조류인플루엔자 발생 시 도살처분 및 발생 국가에서는 수출이 금지되 부정적인 영향을 받음. 하지만 닭고기 공급이 축소되어 가격이 오를 것이란 기대로 주가가 오르기도 함. 대체재로 양돈주, 수산주가 덩달아 오르는 경우도 있음. 또한 다른 종류의 식자재에서 문제 발생 시 대체상품으로 주목받음. 양돈 관련 질병(아프리카돼지열병 등)이 발생할 경우 상승하기도 하며, 일본 원전 오염 바닷물이 국내에 유입됨에 따라 반사이익 기대감으로 주가가 강세를 보이기도 함. (마지막 업데이트 2019. 09.17)※ 토픽은 종목 추천이 아닌 정보 제공을 목적으로 함. 상기 종목의 투자로 인한 책임은 투자자 본인에게 있음.관련 종목육계주 테마 차트3개월 등락률 +8.10%1개월 등락률 +0.20%1주 등락률 -2.37%[이 기사는 증권플러스(두나무)가 자체 개발한 로봇 기자인 'C-Biz봇'이 실시간으로 작성했습니다.][C-Biz봇]chosunbiz.com	[조선비즈 창간 10주년 기획 '다시쓰다 도시3.0' 기사 보러가기]	[네이버 메인에서 조선비즈 받아보기]	[조선비즈 바로가기]"
3,2019.11.25. 오후 3:19,"돼지·닭고기, 산지~소매가격 실시간 비교해 구매한다","축평원, 5대 축산물 가격 비교 서비스 시행유통단계·지역·업체별 정보 제공…선택권 개선 기대장승진(왼쪽) 축산물품질평가원 원장이 지난 22일 열린 정부혁신박람회에서 축산물 가격비교서비스를 선보이고 있다. 축산물품질평가원 제공[세종=이데일리 이명철 기자] 소고기나 돼지고기, 닭고기 같은 축산물의 산지 가격과 정육점 가격을 비교할 수 있는 서비스가 첫 선을 보였다.축산물품질평가원은 지난 22일 5대 축산물의 산지·도매·소매가격을 실시간 수집·제공하는 ‘축산물 가격비교서비스’를 시행했다고 25일 밝혔다.해당 서비스는 기존 축산유통정보 홈페이지에서 확인할 수 있다. 제공 정보는 5개 축종(소·돼지·닭·오리·계란)의 △유통단계별 △지역·업체별 △업태별 △등급별·부위별 가격 비교와 △전국 5만여개 정육점 위치정보 등이다.축평원은 사이트 활성화를 통해 축산물 유통시장 투명성을 높이고 업체간 자율경쟁을 통해 가격이 합리적으로 형성할 것으로 기대했다. 소상공인에게는 홍보의 장을 마련하고 소비자는 선택권 확대 효과도 예상된다.내년에는 홍보를 강화해 가격 제공 업소를 확대하고 가격 정보의 신뢰성 확보, 시스템 기능 개선, 국민의견 상시 반영 등으로 양질의 데이터를 생해 상시 가격조사나 관측, 소비 형태 및 트렌드 분석 등에 활용할 계획이다.장승진 축평원장은 “축산물 가격비교서비스를 국민 누구나 이용 가능한 대표 정보공유 플랫폼으로 발전시킬 것”이라며 “축적 빅데이터를 활용해 급변하는 유통시장 환경에 대응할 분석자료를 제공해 사회적 가치를 높이겠다”고 말했다.축산물품질평가원 제공이명철 (twomc@edaily.co.kr)네이버 홈에서 ‘이데일리’ 뉴스 [구독하기▶]꿀잼가득 [영상보기▶] , 청춘뉘우스~ [스냅타임▶]＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
4,2019.11.05. 오전 3:05,가격 올리려… 씨닭 생산축소 담합 4곳에 3억 과징금,"공정위, 삼화원종-하림 등 적발닭고기 가격을 올리기 위해 ‘어미닭(종계)’의 생산량을 줄이기로 담합한 4개 사업자가 3억 원대의 과징금을 물게 됐다. 생닭이나 치킨용으로 공급되는 육계를 낳는 종계의 수가 줄면 소비자 가격이 오를 가능성이 높다. 공정거래위원회는 삼화원종 한국원종 사조화인 하림 등 4개 사업자에 대해 공정거래법상 담합행위 혐의를 적용해 3억2600만 원의 과징금을 부과했다고 4일 밝혔다. 업체별 과징금 규모는 삼화원종 1억6700만 원, 한국원종 9900만 원, 사조화인 4200만 원, 하림 1800만 원이다.  공정위는 시장을 100% 점유한 이 4개 업체가 2012년 말 종계 가격이 연초보다 약 36% 떨어지자 가격을 올리기 위해 생산량을 담합한 것으로 파악했다. 이들은 2013년 2월 어미닭을 낳는 조부모닭(원종계)의 수입량을 전년 대비 23% 줄이기로 했다. 원종계는 전량 해외에서 수입되며 1마리당 40마리의 종계를 낳는다.  종계시장 점유율 1, 2위인 삼화원종과 한국원종은 수입량 제한과 별개로 종계 판매가격을 500원 인상하는 가격 담합도 했다. 그 결과 2013년 2월 3000원이던 종계 가격이 2015년 7월 5500원까지 오르는 데 영향을 미친 것으로 공정위는 보고 있다. 공정위는 “축산물은 사업자가 생산량을 조정하면 소비자 피해로 이어지기 때문에 담합행위를 집중 감시하겠다”고 말했다. 세종=송충현 기자 balgun@donga.com▶ 동아일보 단독 뉴스 / 트렌드 뉴스▶ 네이버 홈에서 [동아일보] 채널 구독하기ⓒ 동아일보 & donga.com, 무단 전재 및 재배포 금지		"
5,2019.11.07. 오전 11:42,[11월1주 밥상물가]돼지고기 하락세 마침표?…가격 오른 곳도,"삼겹살값, 서울서 1.8% 올라기온하락에 달걀·닭고기 등↓【그래픽=뉴시스】11월 1주 주간 밥상물가 동향. (73품목 서울 지역 기준, 자료:한국물가협회 ) 【서울=뉴시스】이예슬 기자 = 11월 첫째주 생활물가 동향을 살펴보면 아프리카 돼지열병의 영향으로 수요가 줄어 하락세를 보였던 돼지고깃값이 바닥을 찍은 것으로 보인다. 평년에 비해서는 크게 낮은 가격이지만, 일부 지역에선 가격이 오르는 등 반등하는 모습이다.기온이 내려가면서 닭고기와 달걀 등은 가격이 올랐고, 제철을 맞은 사과는 반입량이 늘면서 저렴해졌다.7일 한국물가협회에 따르면 조사대상 73품목 중 서울 기준, 돼지고기·닭고기 등 2품목은 상승했고 상추·오이·단감 등 15품목은 하락했다.◇축산류달걀은 산란계 사육마릿수 감소로 생산량이 줄면서 상승세를 보였다. 특란 10개 기준 부산·대전에서 1.5%·3.5% 오른 2690원·2890원에 거래됐고, 서울·대구·광주는 각각 2890원씩에 판매되며 강보합세를 나타냈다.소고기는 시장 내 소비가 한산하면서 수요 감소로 하락세였다. 부산·대전에서 한우 등심(1등급) 500g 당 3%·0.8% 내린 52400원·4만7000원에 거래됐고, 서울·대구·광주는 474050~49820원에 판매됐다.돼지고기 삼겹살은 500g 당 서울에서 1.8% 오른 9840원이었다. 대구(7900원)와 대전(9800원)에선 값이 내렸고, 부산(1만100원)과 광주(7450원)에선 지난주와 비슷한 수준을 보였다.◇과일류사과는 부사 품종이 제철을 맞아 반입물량이 늘며 하락세였다. 한 개에 부산·대구에서 28.9%·6.3% 내린 1180원·1500원에 판매됐다. 서울·광주·대전은 1800~2000원으로 약보합세를 나타냈다.◇채소류당근은 강원산 고랭지 당근의 출하물량 감소로 지난주에 이어 상승세를 보였다. 1㎏ 기준 부산·대전에서 21.8%·2.2% 오른 5580원·4580원에 판매됐다. 서울·대구·광주는 4590~5500원으로 강보합세를 나타냈다.상추는 기온이 낮아지며 출하물량이 감소했지만 소비 또한 부진해 하락세였다. 서울·부산·대구·광주·대전에서 100g 당 9.6%·14.4%·10.2%·9.6%·21.9% 내린 1690원·1490원·1490원·1690원·1780원에 판매됐다.시금치는 출하지역 확대로 반입량이 증가하면서 하락세였다. 한 단에 서울·부산·대구·광주에서 16.8%·33.6%·16.7%·16.7% 내린 2480원·1980원·2490원·2490원에 판매됐다. 대전은 수요증가로 8.5% 오른 2690원에 거래됐다.애호박은 국, 탕 등의 부재료로 수요가 꾸준한 가운데 산지 출하물량 증가로 하락세였다. 서울·부산·대구·광주·대전에서 한 개에 12.5~16.7% 내린 770~1000원에 팔렸다.◇수산류갈치는 기온이 내려가면서 조림용 등으로 수요가 늘며 대구·대전에서 생물 한 마리에 9.3%·12.2% 오른 1만2900원·1만1000원으로 상승세에 판매됐다. 서울·부산·광주는 6490원·1만3200원·1만1900원으로 강보합세였다.ashley85@newsis.com▶ K-Artprice 모바일 오픈! 미술작품 가격을 공개합니다▶ 네이버에서 뉴시스 채널 구독하기▶ 뉴시스 빅데이터 MSI 주가시세표 바로가기 <저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>		"
6,2019.11.05. 오후 12:37,"中, 돼지고기값 상승에 달걀 · 병아리값까지 '껑충'","			중국 허난성의 한 양계 농장입니다. 농장주인 왕궈화 씨는 병아리 4천 마리를 주문했지만 3천 마리밖에 공급받지 못했습니다.닭고기와 달걀 가격이 크게 오르자 양계업자들이 너도나도 사육 규모를 늘리면서 공급이 부족해진 것입니다.가격도 올랐습니다.[왕궈화/양계농장 주인 : 여기 있는 병아리를 가져올 때 가격이 7.5위안까지 올랐는데, 지금은 10위안까지 더 올랐습니다.]중국 농업농촌부 조사 결과 10월 넷째 주 닭고기와 달걀 가격은 한 주 전보다 5%씩 급등했습니다. 연초와 비교하면 특히 달걀은 37%나 올랐습니다.원인은 돼지고기 가격 급등입니다.중국에서 1년 3개월째 계속되고 있는 아프리카돼지열병 여파로 돼지고기 가격이 1년 전보다 70%나 오르자 대체재인 닭고기와 달걀의 소비가 늘어난 겁니다.중국 정부가 비축분을 공급하고 수입을 늘리고 있지만 돼지고기 가격은 아직 고공 행진을 이어가고 있습니다.이런 가운데 '가짜 고기'로도 불리는 인조고기에 대한 관심도 커지고 있습니다.콩에서 추출한 단백질에 섬유질과 효모 등을 혼합해 만드는 식물성 인조고기는 중국 대도시의 식당과 온라인 쇼핑몰에서 인기를 끌고 있습니다.[차오윈/인조고기 회사 직원 : 인조고기는 콜레스테롤과 첨가제가 없을 뿐만 아니라 항생제 위험도 없습니다.]중국의 돼지고기 가격 상승 여파가 확산하고 있는 가운데 중국 정부는 돼지고기 공급 부족 현상이 내년 상반기까지 심할 것으로 예상했습니다.송욱 기자(songxu@sbs.co.kr)▶ [인-잇] 사람과 생각을 잇다▶ 내가 보낸 영상이 SBS 뉴스로! 제보하기 '클릭'※ ⓒ SBS & SBS Digital News Lab. : 무단복제 및 재배포 금지		"
7,2019.11.29. 오후 5:06,"""이 스테이크는 실험실산 소고기입니다""","클린 미트 / 폴 샤피로 지음 / 이진구 옮김 / 흐름출판 펴냄 / 1만6000원 최근 경기도 연천군에서 아프리카돼지열병(ASF)으로 도살된 돼지 수만 마리의 핏물로 붉게 물든 임진강을 본 후 삼겹살을 피하게 된다. 지난해 8월 중국에서 시작된 이 전염병이 주변국으로 퍼져서 아시아 돼지 2억마리 이상이 도살됐다고 한다. 힘들게 사냥하지 않고도 고기를 배불리 먹고 싶은 인간의 욕망으로 우후죽순 생긴 가축 농장이 대재앙의 근원지가 되고 있다. 각종 동물 전염병으로 식탁이 위협받고 있는 가운데 세포 농업인 '클린 미트'가 주목받고 있다. 동물 세포를 분리한 후 영양분을 공급해 인큐베이터에 배양하면 원하는 양만큼 고기를 얻어낼 수 있다고 한다. 아프리카돼지열병뿐만 아니라 구제역, 조류인플루엔자의 위험으로부터 안전한 청정 육류인 셈이다. 동물보호단체 '도살에도 자비를' 설립자인 폴 샤피로 저서 '클린 미트'를 읽으면 청정 고기가 공상과학소설 이야기가 아니라는 것을 알 수 있다. 2013년 이미 세계 최초로 소 줄기세포를 배양해 햄버거용 패티를 만들었다. 네덜란드 마스트리흐트대 혈관 생리학자인 마크 포스트 교수가 33만달러(약 3억800만원)를 투입해 암소 어깨에서 추출한 세포로 만들었다. 이 버거를 맛본 음식평론가 한니 러츨러는 ""부스러질 줄 알았는데 잘 엉겨 있어 놀랐다""고 말했다. 심장전문의 우마 발레티가 창업한 멤피스미트는 2016년 비교적 저렴한 가격인 1200달러(약 141만원)로 세계 최초 배양 미트볼을 생산해냈다. 발레티는 ""나는 입에 넣고 겨우 몇 초 만에 고기 특유의 맛을 확실히 느낄 수 있었다""면서 ""박테리아와 도축, 오염이 없는 실험실 고기에는 더 많은 단백질이 들어 있는 반면에 지방은 덜 함유돼 건강에 좋다""고 주장했다.멤피스미트는 2017년 더 낮은 가격으로 최초의 청정 닭고기 샌드위치와 비가라드소스를 끼얹은 프랑스식 오리 요리를 만들어 가까운 미래에 시장 출시를 노리고 있다. 적절한 연구와 투자가 이뤄진다면 10~20년 안에 소나 닭을 키우는 비용보다 저렴하게 고기를 양산할 수 있을 것으로 내다본다.세포농업은 1만여 년 전에 일어났던 농업혁명 이후 식품 생산에 대격변을 일으킬 수 있는 과학 기술이다. 지구에서 살아가는 인간이 배양한 소고기, 유제품, 물고기를 맛보게 되는 시대를 열 수 있다. 온실가스를 내뿜어 지구온난화 주범인 축산업도 줄일 수 있다. 유엔식량농업기구에 따르면 지구의 얼어붙지 않은 땅 4분의 1 이상이 가축 방목에 사용되고, 경작지 3분의 1이 농장 동물을 먹이는 용도로 활용되고 있다고 한다. 그러나 인공 고기가 각광받을지는 미지수다. 지금도 유전자 조작 농산물(GMO)을 기피하고 있지 않은가. [전지현 기자]▶매경이 에어팟프로 쏩니다! 'M코인'▶네이버 메인에서 '매일경제'를 받아보세요 ▶뉴스레터 '매콤달콤' 구독[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]		"
8,2019.11.06. 오전 8:06,"""중국, 캐나다산 돼지고기·소고기 수입금지 해제""","			[아시아경제 베이징=박선미 특파원] 중국이 캐나다산 돼지고기와 소고기에 대한 수입금지 빗장을 풀 예정이다.5일(현지시간) 쥐스탱 트뤼도 캐나다 총리는 트위터를 통해 ""오늘 캐나다 농가에 좋은 소식이 있다""며 ""캐나다산 돼지고기와 소고기의 중국 수출이 재개될 것""이라고 밝혔다. 캐나다 육류 대표단은 수입 재개와 관련해 다음주 중국을 방문할 것으로 전해졌다.중국의 캐나다산 돼지고기와 소고기 수입 재개는 금지한지 약 5개월만에 이뤄지는 것이다.지난해 12월 중국 통신장비업체 화웨이의 멍완저우 부회장이 미국 요청으로 캐나다 당국에 체포된 이후 중국과 캐나다의 외교 관계가 급격하게 악화됐다. 중국은 올해 3월 캐나다산 카놀라씨 수입을 금지했으며 지난 6월에는 캐나다의 돼지고기 수출 서류에서 위조가 확인됐다면서 캐나다산 육류 수입을 전면 중단했다. 당시 보복성 성격의 조치라는 해석이 나왔었다.중국은 올해 9월까지만 해도 캐나다의 세 번째로 큰 돼지고기 수출시장이었다. 캐나다는 지난해 총 5억1400만달러어치, 올해  1~8월 3억7300만달러어치의 돼지고기를 중국에 수출한 바 있다.중국이 왜 갑자기 캐나다산 육류 수입을 재개하는지 배경은 밝혀지지 않았지만 업계에서는 중국의 아프리카돼지열병 확산으로 육류가격이 급등한 것이 배경으로 작용했다고 보고 있다. 중국에서는 돼지고기 가격이 1년 전보다 70%나 오르자 대체재인 소고기, 닭고기 가격까지 급등 추세다. 지난 9월 양국이 공석이었던 상대국 주재 대사를 임명하거나 주재국 부임 동의를 내준 것도 외교 관계 회복의 불씨를 살린 것으로 풀이되고 있다.   베이징=박선미 특파원 psm82@asiae.co.kr▶ 신강재강(身强財强) 해야 부자사주라고? 나는?▶ 초간단 퀴즈 풀고, 아이패드 받자!  ▶ 재미와 지식이 가득한 '과학을읽다'<ⓒ경제를 보는 눈, 세계를 보는 창 아시아경제 무단전재 배포금지>		"
9,2019.11.15. 오전 10:11,"中, 5년만에 미국산 가금육 금수 해제…협상 난항속 유화적 제스처","[이미지출처=AP연합뉴스][아시아경제 베이징=박선미 특파원] 미·중이 협상 합의문을 놓고 신경전을 벌이고 있는 가운데 중국이 약 5년만에 미국산 가금육 수입 제한을 해제하며 유화적 제스처를 취했다.14일(현지시간) 중국 해관총서는 홈페이지 공고를 통해 미국산 가금육 수입 제한을 해제했다고 밝혔다. 가금육 수입제한 해제는 즉시 발효됐다. 미 무역대표부는 중국에 대한 가금육 빗장 해제로 당장 연간 10억달러 이상의 수출이 가능할 것으로 기대했다.중국은 조류인플루엔자(AI) 발병 때문에 2015년 1월부터 지금까지 약 5년간 미국산 가금육 및 계란 수입을 금지한 상황이었다.중국에서 아프리카돼지열병 때문에 돼지고기를 시작으로 소고기, 닭고기 등 모든 육류 가격이 치솟고 있어 미국산 가금육 수입이 중국 내 육류가격 안정에 보탬이 될 것이란 계산이 이번 결정에 영향을 미쳤다.하지만 이번 결정이 미국과의 무역협상 진전을 위한 중국의 유화적 제스처라는 의견도 지배적이다. 미중 무역협상이 양국 정상 간 협정 서명을 앞두고 삐걱거리고 있는 가운데 중국의 미국산 가금육 수입제한 해제 결정이 나왔기 때문이다. 중국의 미국산 농산물 수입 확대는 1단계 합의의 중요한 부분 중 하나다. 중국은 오는 19일 브뤼셀에서 유럽연합(EU), 일본, 미국의 외교·산업 대표들이 참석하는 가운데 열릴 예정인 중요자원 3자회의를 앞두고 무역협상 과정에서 희토류를 협상 카드로 쓰지 않겠다는 유화적 제스처도 보탰다. 중국 외교부는 ""중국은 희토류 자원과 관련 제품을 모든 국가의 개발 요구에 부응할 수 있도록 사용할 의지가 있다""며 ""중국은 자국 경제 뿐 아니라 세계 경제의 발전을 촉진하는데 적극적 역할을 할 것""이라고 밝혔다. 외교부는 ""중국은 세계 최대 희토류 매장량을 보유하고 있는 세계 최대 생산국""이라며 ""희토류 산업에서 개방, 협력, 공유 원칙을 견지해왔다""고 강조했다. 베이징=박선미 특파원 psm82@asiae.co.kr▶ 신강재강(身强財强) 해야 부자사주라고? 나는?▶ 즉석당첨! 아시아경제 구독하고 세로TV받자! ▶ 재미와 지식이 가득한 '과학을읽다'<ⓒ경제를 보는 눈, 세계를 보는 창 아시아경제 무단전재 배포금지>		"
