,날짜,기사제목,기사내용
0,2019.07.17. 오후 4:12,中 6월 돼지고기 가격 전년比 29.8% 급증,"中농업부 ""하반기 돼지공급 부족…가격 상승세 지속""【이창(중 후베이성)=AP/뉴시스】지난 2015년 9월10일 중국 후베이(湖北)성 이창(宜昌)시의 한 시장에서 한 고객이 돼지고기를 살펴보고 있다.【서울=뉴시스】문예성 기자 = 중국 농업농촌부는 아프리카돼지열병(ASF) 확산으로 하반기 돼지고기 공급은 여전히 부족하고 가격 상승세는 지속될 것이라고 예상했다.17일 중국중앙(CC)TV 등에 따르면 농업농촌부는 이날 농축산물 시장 상황 관련 기자회견에서 “현재 돼지고기 공급량이 부족하고 가격도 상승세를 유지하고 있다”면서 “돼지고기 가격 상승 영향으로 소고기, 닭고기 등 육류의 가격도 오르고 있다”고 밝혔다. 탕커 농업농촌부 시장경제정보사(司) 사장(국장)은 ""지난 3월부터 오름세를 보이던 돼지고기 가격은 최근 더 올랐고, 6월 기준 중국 돼지고기 1㎏ 당 가격은 21.59위안(약 3700원)으로 전월보다 4.7%, 전년 동기 대비 29.8% 올랐다""고 전했다. 탕 사장은 또 ""돼지고기 가격 상승은 지난해 8월 중국에 처음 발병한 ASF의 영향 때문""이라면서 ""ASF 발병 여파로 작년 4분기 중국의 돼지 사육두수와 번식용 돼지 사육두수는 크게 감소했다""고 부연했다. 그는 ""다만 육류 소비구조 조정이 진행되고 있고, 돼지고기 수입량이 다소 증가하면서 육류 시장 공급은 총체적으로 보장될 것""으로 내다봤다. 중국 국가통계국은 지난 15일 올해 상반기 중국의 돼지고기 생산량이 5.5% 감소한 약 2470만t을 기록했다고 밝혔다. 통계국에 따르면 돼지고기 생산량 감소는 가격 상승으로 이어져 상반기 돼지고기 가격은 전년 동기 대비 7.7% 상승했다. 6월 한달 가격이 전년 동기대비 21.1%, 전월 대비 상승률은 2.9%p 높아져 소비자물가지수(CPI) 상승률을 0.45%p 끌어올렸다.sophis731@newsis.com▶ 네이버에서 뉴시스 채널 구독하기▶ 뉴시스 빅데이터 MSI 주가시세표 바로가기 <저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>		"
1,2019.07.09. 오후 2:40,"치맥의 계절, 닭고기 가격은 거품 더 빠졌다…삼계탕용 닭만 상승","			[ 오정민 기자 ]사진=호텔신라 제공'치맥(치킨과 맥주)'의 계절인 여름이지만 닭고기 가격이 여전히 힘을 쓰지 못하고 있다. 올 봄 조류인플루엔자(AI)가 발병하지 않아 육계 공급이 늘어난 결과다. 반면 초복을 앞두고 삼계탕용 생닭 가격은 이달 들어 상승세를 나타냈다.9일 한국육계협회 시세 통계에 따르면 치킨용으로 많이 쓰는 9∼10호 닭고기(냉장·벌크·8일 기준) 1kg 가격은 이달 들어서만 5.7% 하락한 2538원으로 집계돼다. 3개월 전(4월8일)인 3308원과 비교하면 23.3%나 떨어진 수준이다.닭고기 가격은 올해 초 4000원선을 웃돌았지만 점차 내리막길을 걸어 지난 5월 중순께 3000원선이 깨졌다. 이후에도 2500~3000원 구간에서 움직이고 있다.육계 생계(대 기준·운반비 포함) 가격도 지난 2월 2000원선이 깨진 후 지지부진한 상황이다. 전날 기준 1290원을 기록해 이달 들어서만 7.2% 빠졌다.전문가들은 이달 생계 유통가격이 평년보다 낮은 수준을 형성할 것으로 전망하고 있다. 초복과 중복이 있음에도 불구하고 도계 물량이 많아져 가격 반등이 쉽지 않을 것이란 관측이다. 올해 초복은 7월 12일, 중복은 7월 22일이다.한 축산업계 관계자는 ""통상 닭고기 가격은 봄철에 하락세를 나타낸 후 여름에는 강세를 나타낸다""면서도 ""매년 겨울마다 발병하던 AI가 지난해는 잠잠해 공급이 크게 늘었고, 지난해보다 유통업계 등 수요처의 행사 규모가 줄어 가격이 반등하지 못하고 있다""고 설명했다. 차재헌 DB투자증권 연구원은 닭고기 가격 약세에 대해 ""중국 등 주변국에서 일어난 아프리카 돼지 열병 때문에 닭고기 소비가 늘어날 것으로 예상하고 농가들이 입식(사육 농가에 병아리를 들이는 것)을 늘리면서 육계 공급량이 증가했기 때문""이라고 설명했다. 그는 ""프랜차이즈 치킨 가격 상승과 배달료 부담 증가 등으로 치킨 수요가 감소한 점도 전체 육계 수요 감소에 영향을 주고 있는 것으로 추정된다""고 분석했다. 한국농촌경제연구원은 올해 7월 생계 유통가격을 지난해 7월(1467원)보다 낮은 kg당 1100~1300원으로 전망했다. 7월 전체 도계 마릿수는 사육 마릿수와 작업일수 증가 여파로 전년 동기보다 8.5% 많은 1억1642만마리로 예상했다.  반면 초복을 앞두고 삼계탕용 생닭 가격은 오름세를 보였다. 삼계탕에 가장 많이 쓰이는 삼계 45~55호 가격은 2980원으로 이달 들어 15.5% 뛰었다. 이른 더위에도 불구하고 5월 초까지 2000원선 아래에서 맴돌았지만 초복을 앞두고 가파르게 상승한 것이다. 이는 올해 초 보다는 36.7% 높은 수준으로 성수기를 앞두고 강세를 보이는 경향이 나타났다.복날 외식 인기메뉴인 삼계탕 가격은 최근 2~3년 고공행진해 1만원대 후반에 달하고 있다. 서울 종로의 유명식당인 '토속촌'은 최근 삼계탕 가격을 1만7000원에서 1만8000원으로 올렸다. 이 밖의 서울 시내 맛집으로 꼽히는 삼계탕 가게의 삼계탕 가격은 1만원대 중후반에 형성된 것으로 전해졌다. 한편, 초복을 앞두고 대형마트를 비롯한 유통업계에서는 앞다퉈 보양식 행사에 돌입했다. 최근 집에서 만들기 번거로운 삼계탕의 가정간편식(HMR) 수요가 늘어난 점도 특징이다. 신세계푸드에 따르면 지난 5~6월 '올반 삼계탕'은 6만5000개가 팔려 지난해 같은 기간(2만8000개)에 비해 판매량이 132% 증가했다.  오정민 한경닷컴 기자 blooming@hankyung.com기사제보 및 보도자료 open@hankyung.com▶ 네이버에서 한국경제 뉴스를 받아보세요▶ 한경닷컴 바로가기  ▶ 모바일한경 구독신청 ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지		"
2,2019.07.28. 오후 2:31,올여름 닭고기가격 10년내 최저인데…삼계탕 한그릇에 2만원 훌쩍,"			[머니투데이 정혜윤 기자] [""공급량 늘면서 육계 가격, 지난 10년 여름철 중 가장 낮을 것으로 예측""....고가 외식삼계탕에 HMR 수요 늘어] (서울=뉴스1) 유승관 기자 = 14일 서울시내 한 대형마트에서 직원이 닭고기 매대를 정리하고 있다. 2019.1.14/뉴스1  <저작권자 © 뉴스1코리아, 무단전재 및 재배포 금지>올 여름 닭고기 가격이 공급량 증가로 10년새 최저치를 기록할 것으로 예상되지만, 서울 주요 삼계탕집의 삼계탕 가격은 이에 아랑곳없이 2만원을 웃도는 등 고공행진을 하고 있다. 이 때문에 소비자들은 상대적으로 저렴한 가정간편식(HMR) 삼계탕으로 눈을 돌리고 있다. 28일 한국농촌경제연구원 육계관측정보에 따르면 8월 생계유통가격은 1kg당 950~1150원으로 전망된다. 도계(닭을 잡아서 죽임) 마릿수가 늘고, 생산성이 높아지면서 지난해 같은 기간인 1872원, 평년 1498원보다 낮은 수준으로 예측된다. 농촌경제연구원은 ""지난해 8월은 이례적인 폭염으로 폐사가 늘어 산지가격이 크게 올랐지만 올해는 전년보다 날씨가 양호하고 (닭의) 생육 상태도 좋아졌다""고 분석했다.농촌경제연구원은 7~8월 육계 가격이 최근 10년 가격 중 가장 낮을 것으로 예측했다. 2009~2018년 중 가장 가격이 낮았던 시기는 2015년 8월 1154원이었다. 닭고기 수입량도 계속 늘고 있다. 지난 6월 닭고기 수입량은 브라질산과 태국산 수입이 늘어 전년보다 17.6% 증가한 1만1480톤이었다. 닭고기 가격은 떨어지는 반면 외식 삼계탕 가격은 계속 오르고 있다. 보통 삼계탕용으로 400~500g 정도(5~6호)의 닭을 사용한다. 농가에서 도계업체, 대리점 등을 거쳐 조리되기까지 가격이 훌쩍 뛴 것이다. 한국소비자원 참가격에 따르면 서울지역 삼계탕 외식가격은 1만4462원(5월 기준)으로 5년새 8% 가량 올랐다. 지난해(1만 4077원)보다도 약 3% 올랐다. 서울 시내 맛집이라 불리는 삼계탕 가격은 보통 1만5000~1만6000원대로 가격대가 형성됐다. 전복이나 산삼 등이 들어간 프리미엄 삼계탕 가격은 2만원을 훌쩍 넘긴다. 이 때문에 HMR 삼계탕을 찾는 수요는 점점 증가하고 있다. HMR 삼계탕의 경우 일부 프리미엄 제품을 제외하곤 5000원~1만원 이내로, 집에서 간단하게 요리를 해먹을 수 있다는 장점이 있다. 11번가에서 이달초 삼계탕 HMR 판매량을 집계한 결과 전년동기대비 29% 증가했다. SSG닷컴이 지난달부터 이달 초까지 살펴본 보양식 HMR 매출은 전년동월대비 70% 이상 늘었고, 이 중 삼계탕 매출은 3배 이상 늘면서 가장 많이 팔린 품목에 이름을 올렸다.식품업계 관계자는 ""여름철 닭고기 가격은 공급 과잉으로 떨어지는 추세지만, 임대료, 인건비 등의 부담으로 외식 삼계탕 가격은 떨어질 기미가 보이지 않는다""며 ""급격한 외식비 인상과 편리성 등을 이유로 간편 삼계탕 수요가 점차 늘어날 것으로 보인다""고 설명했다. 정혜윤 기자 hyeyoon12@▶이코노미스트들의 투자칼럼▶조 변호사의 가정상담소 ▶더 많은 기사 보러가기  <저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지> "
3,2019.07.13. 오후 8:36,외식가격 상승에 '간편식 삼계탕' 잘 나가네,"[아시아경제 성기호 기자] 연중 가장 닭고기 수요가 높아지는 복날이 돌아왔다. 수요가 늘어나는 가운데 생닭의 시세는 안정적이지만, 삼계탕과 치킨 등 외식가격은 오르고 있다. 반면 상대적으로 저렴한 가격으로 무장한 가정간편식(HMR) 보양식은 판매율이 급증하는 모양세다.13일 한국농촌경제연구원 육계관측정보에 따르면 7월 생계유통가격은 1kg당 1100원에서 1300원 선을 유지할 것으로 전망됐다. 지난해 1467원보다 낮은 수준이다. 농촌경제연구원 관계자는 통화에서 ""최근 닭고기 가격이 소폭 상승하기는 했지만 다시 안정세로 접어들고 있다""며 ""다음달 상순 복날을 앞두고 일시적으로 상승할 수는 있지만 도계 물량이 워낙 많기 떄문에 산지가격은 전년보다 하락할 것으로 전망된다""고 말했다.일반적으로 닭고기는 초복과 중복이 위치한 한 여름이 최고 성수기로 꼽힌다. 여름의 경우 복날 보양식과 나들이를 위한 치킨 수요가 늘어나기 때문이다. 올해 복날은 7월 12일, 중복은 7월 22일, 말복은 8월 11일이다.반면 닭고기와 관련된 음식의 가격은 점차 높아지고 있는 추세다. 통계청의 소비자물가지수를 보면 삼계탕은 올해 1월 107.85(2015년 가격이 100)에서 6월 109.09로 올해 내내 상승한 것으로 나타났다. 치킨도 올 1월 107.85에서 6월 109.64로 상승했다. 반면 다른 음식 서비스 전체의 품목은 109.86에서 110.33으로 나타나 닭고기 음식보다는 안정적이었던 것으로 나타났다. 또한 한국소비자원 참가격에 따르면 5월 삼계탕의 외식가격은 1만4462원으로 한달전 1만4385원에 비해 오른 것으로 집계됐다.이에 대한 반대 급부로 HMR 매출은 급격히 상승하는 추세다. 11번가에 따르면 7면 7월 1일부터 8일까지 삼계탕 HMR 판매율은 23%가 상승한 것으로 나타났다. 생닭 11%와 전복 15%에 비해 높은 수치다. 신세계푸드 올반은 올 5~6월 두달 간 삼계탕 판매량이 6만5000개에 이르는 것으로 나타났다. 지난해 같은기간 2만 8000개보다 2배이상 높은 판매량이다. SSG닷컴에 따르면 초복을 앞두고 지난달 4일부터 이달 3일까지 삼계탕, 갈비탕, 장어요리. 전복죽 등 보양식 HRM 매출이 전월 같은 기간에 비해 70% 이상 늘어났다.업계에서는 이같은 HMR의 선전의 원인으로 외식물가 상승과 언제 어디서든 간편하게 즐길 수 있는 간편성이 기인한 것으로 분석하고 있다. 유통업계는 다양한 이벤트를 실시하는 지금이 닭고기를 즐길 좋은 기회라고 소개했다. 한 유통업계 관계자는 ""복날 등 성수기에 닭고기 소비가 부진해 진다면 축산가의 부담으로 돌아갈 수 있다""며 ""이벤트나 할인 행사 등으로 닭고기를 구매하는 것도 하나의 방법""이라고 조언했다.성기호 기자 kihoyeyo@asiae.co.kr▶ 네이버에서 아시아경제를 쉽게 만나보세요▶ 경제 감각을 키우고 싶다면? ▶ 재미와 지식이 가득한 '과학을읽다'<ⓒ경제를 보는 눈, 세계를 보는 창 아시아경제 무단전재 배포금지>		"
4,2019.07.11. 오후 3:57,"충북, 휴가철 성수식품 가격 오름세…삼겹살·한우등심 등 ↑","【청주=뉴시스】임선우 기자 = 본격적인 여름 휴가철을 맞아 충북지역 성수식품 가격이 오름세를 보이고 있다.11일 한국농수산식품유통공사에 따르면 이날 충북농협유통에서 판매된 돼지고기 삼겹살(100g) 가격은 2280원으로 전달 대비 140원(6.5%) 상승했다. 목살(100g)은 2080원으로 비교적 안정세를 보였다.소고기 한우등심(100g)은 전달 대비 1512원(18.9%)이나 오른 9500원에 거래됐다.초복(12일)을 앞두고 수요가 급증한 닭고기(1㎏)는 유통업계의 할인 행사로 지난달에 비해 380원(6.6%) 내린 5380원에 판매됐다.반면, 계란 1판(30개) 가격은 4980원으로 전년 대비 1000원(25.1%)이나 올랐다. 지난해에는 2017년 조류인플루엔자(AI) 파동 후 산란계가 대규모로 입식되면서 계란값을 큰 폭으로 떨어트렸다.과일 가격은 휴가철 수요 증가와 봄 가뭄, 마른장마 탓에 증가세를 보였다.이날 청주육거리종합시장의 사과(후지) 10개 가격은 2만6600원으로 전년 대비 1600원(6.4%) 상승했다.배 10개 가격은 지난해 같은 기간에 비해 1만원(33.3%)이나 올랐다.적상추(100g)도 한 달 사이 500원에서 910원으로 오르며 82%의 증가율을 기록했다.지속된 가뭄으로 노지 채소의 작황 상태가 좋지 않은 데다 휴가철 바비큐 수요 증가에 따른 영향으로 풀이된다.반대로 과일류는 전달에 비해 하락했다.청주육거리종합시장의 수박(1개)과 참외(10개) 가격은 각각 1만5600원, 9000원으로 전달 대비 12.4%, 34.4% 내렸다.앞서 지난 2일 충청지방통계청이 발표한 6월 충북의 소비자물가지수는 104.66(기준 2015년=100)으로 전년 동기 대비 0.7% 상승했다.생활물가지수는 0.7% 오른 105.26을, 신선식품지수는 2.8% 오른 107.43을 각각 기록했다. 지출목적별로는 식료품 및 비주류음료(2.6%), 기타 상품 및 서비스(2.3%), 주택·수도·전기·연료(1.8%), 가정용품 및 가사서비스(1.7%), 주류 및 담배(1.3%), 교육(0.9%), 의류 및 신발(0.5%), 음식 및 숙박(0.3%) 등 대부분 품목에서 상승세를 나타냈다.imgiza@newsis.com▶ 네이버에서 뉴시스 채널 구독하기▶ 뉴시스 빅데이터 MSI 주가시세표 바로가기 <저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>		"
5,2019.07.03. 오전 10:14,휴가철·복날 낀 7월 '축산물 가격' 하락…소비자 웃고·농가 울고 ,"【나주=뉴시스】 = 3일 한국농촌경제연구원은 7월 돼지고기 ㎏당 도매가격이 4100∼4300원에 형성될 것으로 내다봤다.  지난해 7월 ㎏당 도매가격(5120원)보다 16.0∼19.9% 하락하는 것은 물론 평년(5044원)보다도 낮을 것으로 관측됐다. 2019.07.03 (사진=뉴시스DB)【나주=뉴시스】이창우 기자 = 한국농촌경제연구원이 본격적인 여름휴가가 시작되고 초복과 중복이 낀 축산물 소비 성수기인 7월을 맞아 한우를 비롯해 돼지, 닭, 오리 등 축산물 가격을 관측한 결과, 전년보다 하락할 것으로 예측되면서 소비자는 반기는 반면 농가는 울상이다.3일 양돈업계에 따르면 돼지고기의 경우, 이미 가격이 크게 하락해 일부 농가들이 적자를 이유로 양돈업을 포기하겠다는 움직임도 있다.  ◇한우 가격= 전년 수준 유지 '보합세'한우 1등급 도매가격은 전년 같은 기간과 비슷한 수준을 유지할 것으로 예측했다.7월 한우 도축 마릿수는 전년도 5만3000마리와 비슷한 5만2000~5만4000마리로 예상된다. 1등급 평균 도매가격은 전년 1만7696원 수준인 1만7200~1만7900원 수준으로 전망했다. 9월 한우 사육 마릿수는 증가할 것으로 예측됐다. 향후 한우 사육 마릿수는 송아지 생산 잠재력이 높아 1세 미만 마릿수가 증가하고, 지난해 늘어난 1세 미만 마릿수 영향으로 9월 한우 사육 마릿수는 전년보다 2.1% 증가한 308만3000마리로 예측했다.◇돼지= 사육량 증가로 가격 하락 전망국내 돼지 사육량 증가로 7월 돼지고기 도매가격은 전년 같은 기간보다 하락할 것으로 전망했다.  농촌경제연구원은 7월 돼지고기 ㎏당 도매가격이 4100∼4300원에 형성될 것으로 내다봤다. 지난해 7월 ㎏당 도매가격(5120원)보다 16.0∼19.9% 하락하는 것은 물론 평년(5044원)보다도 낮을 것으로 관측됐다. 가격 하락은 돼지 사육 증가에 따라 7월 등급판정 마릿수가 135만∼137만 마리로 전년보다 4.6∼6.1% 늘어날 것으로 보이면서 도매가격을 끌어내릴 것으로 분석됐다. 6월 돼지 전체 사육 마릿수는 모돈 수가 전년보다 0.1∼2.0% 증가함에 따라 자돈 생산도 늘어 지난해 같은 기간보다 0.4∼2.2% 증가한 1135만∼1155만 마리로 추정됐다.◇닭(육계)= 병아리 생산·도계 마릿수 증가 가격 '하락' 전망닭고기는 올 하반기 들어 공급 과잉으로 가격 약세가 지속될 것으로 예측됐다.닭고기 가격은 초복과 중복 수요로 인해 일시적으로는 상승하겠지만 도계물량 증가로 상승폭은 크지 않을 것으로 예측됐다.7월 일평균 도계 마릿수는 육계와 삼계 사육마릿수가 늘어 전년 같은 기간 보다 4.3%증가할 것으로 전망됐다.전체 도계 마릿수는 사육 마릿수와 작업일수 증가로 전년 같은 기간 보다 8.5% 많은 1억1642마리로 내다봤다.7월 생계 유통가격은 도계 마릿수 증가와 생산성 회복으로 전년 1467원보다 낮은 ㎏당 1100~1300원으로 예측됐다하반기 병아리 생산량도 증가될 것으로 보인다. 병아리 생산 잠재력은 8월 이후 상승폭이 커져 전년보다 10%이상 높을 것으로 예상했다.12월 잠재력은 5%이상 추가적으로 상승하고, 8~9월 도계 마릿수는 병아리 생산이 늘어 전년보다 8월은 5.2%증가한 9088만 마리, 9월은 8.4% 증가한 7782만마리로 전망했다.◇오리=생산량 증가로 산지가격 '하락' 전망7월 오리고기 생산량은 병아리 입식 증가로 도압 마릿수가 늘어 전년 같은 기간 보다 1.7~2.9%, 평년 대비 5.5~6.7% 증가한 1만1780~1만1919t으로 전망했다.오리 산지가격은 오리고기 생산량 증가로 전년 같은기간 6293원 보다 낮은 생체 3.5kg당 5500~6000원(축산물 품질평가원 발표 가격 기준)으로 예측했다.오리고기 냉동 재고량은 올해 초보다 감소했지만 여전히 많은 수준으로 조사됐다. 냉동 재고량이 많은 것은 조류독감 발병 예방을 위한 오리 사육제한에도 불구하고 도압 마릿수 증가로 산지가격 약세가 장기화된 것이 원인으로 분석됐다.lcw@newsis.com▶ 네이버에서 뉴시스 채널 구독하기▶ 뉴시스 빅데이터 MSI 주가시세표 바로가기 <저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>		"
6,2019.07.01. 오전 6:01,"이마트, 1등급 돼지·닭고기 선별 판매한다","(사진=이마트)[이데일리 송주오 기자] 이마트가 1등급 이상 돼지고기와 닭고기를 선별 판매한다.이마트는 연중 내내 돼지고기 전 상품, 닭고기는 등급 판정이 불가능한 닭 부산물을 제외한 생닭 전 품목에 대해 1등급 상품만 선별해 판매한다. 돼지고기의 경우는 1+등급부터 2등급의 상품을 한번에 매입해 별도의 구분 없이 판매해왔으나 7월부터는 본격적으로 1+등급과 1등급 상품을 1등급 이상으로 분류해 판매한다.또한, 이마트는 오는 4일에 ‘동물복지닭’을 전국 점포에 선보이며 연내 닭고기에 ‘품질 실명제’를 실시하는 등 축산물 품질 강화를 위한 노력을 이어나갈 방침이다.동물복지닭은 닭에게 미치는 스트레스 등을 최소화해 청결한 환경에서 기른 닭이다. 축산물 품질 강화 일환으로 시행되는 닭고기 품질 실명제는 상품 패키지에 생산담당자명을 표기하는 제도다. 이마트는 소비자들에게 상품에 대한 신뢰감을 주기 위해 연내 닭고기 품질 실명제를 도입할 계획이다.아울러 이마트는 오는 4일부터 10일까지 ‘1등급 이상으로 선별한 국내산 암퇘지 삼겹살/목심’을 2280원(냉장/각 100g)에 판매한다.진영호 이마트 신선식품담당은 “단순히 맛이나 가격만 보고 먹거리를 구매하던 시기를 지나 식품 안전과 동물 복지 등 소비자들의 먹거리 기준이 확대되고 있다”며 “이마트는 선제적으로 돼지고기와 닭고기 등급 표시에 나서는 등 안전하고 믿을 수 있는 먹거리 제공을 위한 노력을 이어나갈 방침이다”고 말했다.송주오 (juoh413@edaily.co.kr)네이버 홈에서 ‘이데일리’ 뉴스 [구독하기▶]꿀잼가득 [영상보기▶] , 청춘뉘우스~ [스냅타임▶]＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
7,2019.07.18. 오후 2:07,[7월3주]닭·돼지고기 가격 약세…채소는 강세,"쇠고기는 소비 늘며 상승 반전수온 상승에 오징어 어획량↑【서울=뉴시스】【서울=뉴시스】이예슬 기자 = 7월 셋째주 생활물가 동향을 살펴보면 성수기임에도 닭고기·돼지고기 등의 축산류 수급이 불균형한 양상을 띠면서 약세가 지속됐다.채소·과일류는 상추·오이를 중심으로 반입량이 강소하면서 강세였다.조사대상 73품목 중 서울 기준 닭고기 등 6품목은 하락했고, 상추 등 12품목은 상승했다.◇축산류닭고기는 초복 특수로 삼계탕용 닭만 일시적으로 강세를 보일 뿐 나머지는 약세였다. 도계물량과 공급물량이 충분해 생닭 한 마리(1㎏) 기준 서울은 5610원으로 1.6% 하락했다. 부산·대구·대전에서 5950원·5000원·5600원으로 각각 0.5%·4.8%·3.4%씩 내렸다.돼지고기 삼겹살도 광주를 제외하고 지난주에 이어 하락세를 나타냈다. 500g 기준 서울·부산·대전에서 1만1260원·1만1120원·1만800원으로 지난주보다 각각 4.4%·0.1%·1.8%씩 하락했다.반면 한우 등심은 휴가철 구이류 소비가 늘면서 상승 반전했다. 1등급 500g 기준, 서울에서 47210원에 거래되면서 1.3% 상승했다. 부산에서는 23% 오른 4만3000원, 대구.광주에서 모두 4만7450원으로 8% 올랐다.◇채소류상추는 산지에 비가 많이와 작업이 지연되면서 출하량이 감소했다. 휴가철이라 수요도 증가해 전국적으로 상승세를 나타냈다. 100g 기준 서울·부산·대구·광주·대전에서 각각 17.7%·12.7%·38.8%·17.9%·9.4% 오른 1244원·890원·1110원·1250원·1050원에 거래됐다.오이도 수요가 늘면서 올랐다. 취청오이 개당 서울·부산·대구·광주·대전에서 57%·22.2%·25.3%·25%·22.5% 오른 1240원·880원·990원·1000원·980원에 팔렸다.애호박은 수요 감소로 개당 서울·부산에서 990원에 거래되면서 지난주보다 16.1% 내렸다. 대구와 광주에서도 각각 26.8% 내린 1090원에 판매됐다.◇수산류난류성 어종인 오징어는 동해안 수온 상승에 따른 어획량 증가로 시장 반입 물량이 늘면서 하락세를 보였다. 마리당 서울·부산·대구·대전에서 3290원·2280원·3290원·3750원에 거래되면서 지난주보다 5.7%·17.5%·3.8% 각각 하락했다.·ashley85@newsis.com▶ 네이버에서 뉴시스 채널 구독하기▶ 뉴시스 빅데이터 MSI 주가시세표 바로가기 <저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>		"
8,2019.07.10. 오후 3:47,다가오는 복날…꿈틀대는 외식가격에 '간편식 삼계탕' 불티(종합),"[아시아경제 성기호 기자] 연중 가장 닭고기 수요가 높아지는 복날이 다가오는 가운데 생닭의 시세는 안정적이지만, 삼계탕과 치킨 등 외식가격은 오르고 있다. 반면 상대적으로 가격이 저렴한 가정간편식(HMR)의 판매율이 급증하고 있어 상반된 모습을 보이고 있다.10일 한국농촌경제연구원 육계관측정보에 따르면 7월 생계유통가격은 1kg당 1100원에서 1300원 선을 유지할 것으로 전망됐다. 지난해 1467원보다 낮은 수준이다.실제로 농수산식품유통공사(aT)에 따르면 닭고기 도계 1kg의 소매 가격은 9일 5141원으로 1달전(5220원)보다 1.5% 하락한 것으로 나타났다. 1년전은 4786원으로 7.3% 상승했지만 평년가격이 5341원인 점을 감안하면 3.8% 하락한 것이다.농촌경제연구원 관계자는 통화에서 ""최근 닭고기 가격이 소폭 상승하기는 했지만 다시 안정세로 접어들고 있다""며 ""다음달 상순 복날을 앞두고 일시적으로 상승할 수는 있지만 도계 물량이 워낙 많기 떄문에 산지가격은 전년보다 하락할 것으로 전망된다""고 말했다.일반적으로 닭고기는 초복과 중복이 위치한 한 여름이 최고 성수기로 꼽힌다. 연말연시 가격이 올랐다가 줄어든 이후 다시 여름에 가격이 치솟는 패턴이다. 여름의 경우 복날 보양식과 나들이를 위한 치킨 수요가 늘어나기 때문이다. 올해 복날은 7월 12일, 중복은 7월 22일, 말복은 8월 11일이다.반면 닭고기와 관련된 음식의 가격은 점차 높아지고 있는 추세다. 통계청의 소비자물가지수를 보면 삼계탕은 올해 1월 107.85(2015년 가격이 100)에서 6월 109.09로 올해 내내 상승한 것으로 나타났다. 치킨도 올 1월 107.85에서 6월 109.64로 상승했다. 반면 다른 음식 서비스 전체의 품목은 109.86에서 110.33으로 나타나 닭고기 음식보다는 안정적이었던 것으로 나타났다. 또한 한국소비자원 참가격에 따르면 5월 삼계탕의 외식가격은 1만4462원으로 한달전 1만4385원에 비해 오른 것으로 집계됐다.농촌경제연구원 관계자는 ""치킨과 삼계탕의 경우 가격에 각종 부재료비와 인건비, 임대료 등이 포함되어 있다""며 ""생닭 가격과 단순히 비교하기는 무리가 있다""고 지적했다.반면 HMR 매출은 급격히 상승하는 추세다. 11번가에 따르면 7면 7월 1일부터 8일까지 삼계탕 HMR 판매율은 23%가 상승한 것으로 나타났다. 생닭 11%와 전복 15%에 비해 높은 수치다. 신세계푸드 올반은 올 5~6월 두달 간 삼계탕 판매량이 6만5000개에 이르는 것으로 나타났다. 지난해 같은기간 2만 8000개보다 2배이상 높은 판매량이다. SSG닷컴에 따르면 초복을 앞두고 지난달 4일부터 이달 3일까지 삼계탕, 갈비탕, 장어요리. 전복죽 등 보양식 HRM 매출이 전월 같은 기간에 비해 70% 이상 늘어났다.업계에서는 이같은 HMR의 선전의 원인으로 외식물가 상승과 언제 어디서든 간편하게 즐길 수 있는 간편성이 기인한 것으로 분석하고 있다. 참가격에 따르면 외식 매장에서 판매하는 삼계탕 가격의 5월 평균은 1만4385원이다. 반편 신세계푸드 올반의 삼계탕 가격은 9680원이다.유통업계는 다양한 이벤트를 실시하는 지금이 닭고기를 즐길 좋은 기회라고 소개했다. 한 유통업계 관계자는 ""복날 등 성수기에 닭고기 소비가 부진해 진다면 축산가의 부담으로 돌아갈 수 있다""며 ""이벤트나 할인 행사 등으로 닭고기를 구매하는 것도 하나의 방법""이라고 조언했다.성기호 기자 kihoyeyo@asiae.co.kr▶ 네이버에서 아시아경제를 쉽게 만나보세요▶ 경제 감각을 키우고 싶다면? ▶ 재미와 지식이 가득한 '과학을읽다'<ⓒ경제를 보는 눈, 세계를 보는 창 아시아경제 무단전재 배포금지>		"
9,2019.07.18. 오후 4:05,[그래픽] 7월3주 밥상물가 닭·돼지고기 가격 약세…채소는 강세,"【그래픽=뉴시스】30일 한국물가협회에 따르면 전체 조사대상 73품목 중 서울 기준 닭고기 등 6품목은 하락했고, 상추 등 12품목은 상승했다.  (그래픽=전진우 기자)618tue@newsis.com<저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>		"
