,날짜,기사제목,기사내용
0,2019.05.27. 오전 10:02,돼지열병 탓 '삼겹살 가격' 벌써...관련주 상승  ,"[한국경제TV 이영호 기자]세계 최대 돼지고기 소비국인 중국과 베트남 등을 강타한 아프리카돼지열병(ASF)의 영향으로 국내에서도 돼지고깃값 상승세가 본격화하고 있다.업계에서는 국내 전체 돼지고기 유통 물량의 3분의 1 정도를 차지하는 수입산 돼지고기 가격이 상승하면 국산 돼지고기 가격에도 영향을 미쳐 전반적인 돼지고깃값 상승이 불가피할 것으로 보고 있다.26일 유통업계에 따르면 지난 4월 말 ㎏당 5천800원 선이던 서울 마장동 축산시장의 수입 냉동 삼겹살 시세(도매가)는 5월 말 현재 ㎏당 6천400원까지 올랐다.불과 한 달 만에 시세가 10% 이상 뛴 것이다.본격적인 여름휴가 시즌이 다가오면서 삼겹살의 수요는 점점 증가하고 있지만, ASF의 영향으로 돼지고기 수입물량이 급감하면서 가격이 오른 것이다.축산업계 관계자는 ""보통 4∼5월 사이에는 계절적 요인으로 가격이 2∼3% 정도 소폭 오르긴 하지만 10% 이상 오른 것은 다른 요인이 있다고 봐야 한다""며 ""ASF의 영향이 국내에도 본격화하고 있는 것 같다""고 진단했다.한국농촌경제연구원에 따르면 지난 3월부터 4월 20일까지 국내 돼지고기 수입량은 지난해 같은 기간의 8만3천789t보다 16.7% 감소한 6만9천830t에 그쳤다.해외 시장에서도 물량 부족에 따른 가격 상승세가 현실화하고 있다.국내에서 돼지고깃값이 오르고 있다는 소식에 동물 사료·의약품과 닭고기 등 관련 종목이 27일 장 초반 강세를 보였다.이날 오전 9시 29분 현재 우성사료는 전 거래일보다 6.04% 오른 3천510원에 거래됐다.같은 시간 우진비앤지(4.39%), 대한뉴팜(4.15%) 등 동물 의약품 업체와 사료 및 사료첨가제 생산업체 이지바이오(4.33%)도 동반 상승했다.이밖에 돼지고기 대체재인 닭고기 생산업체 하림(2.32%), 마니커(2.28%) 등도 올랐다. (연합뉴스)이영호기자 hoya@wowtv.co.kr▶ 네이버 홈에서 [한국경제TV] 채널 구독하기 [생방송보기]▶ 대한민국 재테크 총집결! - [증권 / 주식상담 / 부동산]ⓒ 한국경제TV, 무단 전재 및 재배포 금지		"
1,2019.05.28. 오후 8:51,“아프리카돼지열병 영향으로 대체재 소·닭고기 값 오를 것”,"“농장 출입 통제·수직계열화로 32년 청정 유지”[서울신문]안드레스 아란시비아 디렉터 - 칠레 식품기업 아그로수퍼의 안드레스 아란시비아 인터내셔널 전략 디렉터가 지난 23일 서울 용산구 그랜드하얏트 서울에서 아프리카돼지열병에 따른 돈육시장 영향에 대해 설명하고 있다. 2019.5.28.아그로수퍼 제공 “아프리카돼지열병(ASF)의 영향으로 돼지고기뿐 아니라 대체재인 소고기와 닭고기 가격도 오를 겁니다.”칠레 최대 축산·식품기업 아그로수퍼의 안드레스 아란시비아 인터내셔널 전략 디렉터는 지난 23일 서울신문과의 인터뷰에서 “ASF는 중국 등 일부 국가만의 이슈가 아닌 전 세계적인 이슈로 번질 것”이라며 이렇게 말했다. 아그로수퍼는 2017년 기준 삼겹살, 목살, 감자탕용 뼈 등 돈육 제품 2만 1779t을 한국에 수출했다. 국내에 유통되는 칠레산 돼지고기의 90% 이상이 아그로수퍼 제품이다.아란시비아 디렉터는 “중국 내 ASF 발병으로 전 세계에서 생산된 돼지고기가 중국으로 이동해 가격이 오를 것”이라고 분석했다. 이어 “고소득층 가정은 돼지고기 대신 소고기를, 중산층은 닭고기를 찾게 되면서 대체재 가격도 덩달아 상승할 것”이라고 내다봤다.아그로수퍼가 본사를 두고 있는 칠레는 32년 연속 가축 질병이 발생하지 않았다. 그는 청정국 지위를 유지할 수 있었던 비결로 농장출입여권제와 수직계열화를 꼽았다. 농장출입여권제는 외부인의 농장 출입을 엄격하게 통제하는 제도다.아란시비아 디렉터는 “농장 접근에 있어 특별하게 관리하며 이런 관리 현황을 정부와 공유한다”고 설명했다. 한국 방문 전 중국을 들른 그는 “칠레를 출국하기 전 무슨 목적으로 어디를 방문하는 지 회사에 보고해야 한다. 현지에서의 행동 규칙도 따라야 한다”며 “칠레에 귀국한 이후 5일 동안 검역 과정을 거쳐야 하고 생산 관련 시설에 접촉해선 안 된다”고 말했다.이와 함께 아그로수퍼는 수직계열화를 통해 사료 생산부터 사육, 도축, 생산, 수출까지 모든 과정을 운영·관리한다. 아란시비아 디렉터는 “수직계열화는 외부 환경, 리스크로부터 제품을 안전하게 지키는 시스템”이라며 “만약 문제가 발생했을 때 이력을 추적하고 빠르게 대응한다”고 강조했다.그는 “농축산식품 수출 비중이 높은 칠레는 정부와 사기업 간 협력 관계가 형성돼 있다”며 “‘수출이 답이다’는 공감대 아래 정부는 가이드라인를 제시해 규제하고 아그로수퍼를 포함한 기업들은 그 이상으로 따른다”고 설명했다. 1955년 설립된 아그로수퍼는 현재 돼지고기, 닭고기, 칠면조, 연어 및 기타 육가공 제품을 66개국에 수출한다. 2017년 기준 연매출 26억 1700만 달러를 기록했다.장진복 기자 viviana49@seoul.co.kr▶ 네이버에서 서울신문 구독하기 ▶ 재미있는 세상[나우뉴스] [인기 무료만화]ⓒ 서울신문(www.seoul.co.kr), 무단전재 및 재배포금지		"
2,2019.05.24. 오후 1:45,'닭고기' 생산비용 5년만에 증가…치킨값 또 오르나,"통계청 '2018년 축산물생산비조사'인건비 상승으로 '송아지' 생산비 5년만에 최대 증가뉴스1 © News1 문요한 기자(서울=뉴스1) 서영빈 기자 = 닭, 소 등의 생산비가 5년 만에 상승하면서 축산농가의 경영사정은 악화된 것으로 나타났다. 생산비 증가로 치킨 등 육계를 원료로 하는 소비재 가격의 상승에 대한 우려도 커지고 있다.통계청이 24일 발표한 '2018년 축산물생산비조사'에 따르면 지난해 송아지의 생산비용은 전년대비 4.8% 증가해 마리당 337만8000원을 기록했다. 이는 5년만에 최고 증가율이다. 송아지 생산비는 2013년 마리당 339만2000원으로 고점을 찍은 뒤 2016년까지 완만한 감소 추세를 보였다. 그러나 2017년 3.3% 증가하며 상승세로 돌아선 뒤 2018년 4.8%로 상승폭이 커졌다.원인은 지난해 인건비가 크게 상승한 데 따른 것으로 분석됐다. 통계청 관계자는 ""송아지는 특히 작업시간이 많이 필요한 축종으로, 생산비에서 노동비가 차지하는 비중이 크다""며 ""2017년에 비해 송아지의 노동비용이 증가한 것으로 나타났다""고 설명했다.육계의 생산비도 5년만에 증가세로 돌아섰다. 통계에 따르면 지난해 육계 생산비는 1kg당 1262원으로 집계됐다.육계 생산비는 지난 2013년 1kg당 1400원에서 2017년 1237원으로 꾸준히 감소한 뒤 지난해 2.0%의 증가세로 돌아섰다.육계의 생산비 증가는 사료비 증가에서 비롯됐다. 통계청 관계자는 ""육계에 사료를 많이 먹이기 시작하면서 생산비용이 늘었다""며 ""육계 100마리당 사료 단가가 2%정도 올랐다""고 말했다.생산비가 가장 크게 감소한 계란은 10개당 910원으로 전년대비 18.6% 감소를 보였다. 이는 2017년 조류인플루엔자(AI)로 생산비가 전년대비 14.7% 치솟았던 데 대한 기저효과로 분석됐다.이외에 품목별 생산비의 전년대비 증가세는 Δ한우비육우 8.7%(111만6000원/100kg) Δ육우 4.5%(68만6000원/100kg) Δ우유 1.1%(77만5000원/L) Δ비육돈 0.1%(28만4000원/100kg)을 기록했다. 생산비용 증가로 관련 물가 상승도 예상됐다. 생산비용이 오르게 되면 시장가격에 영향을 미칠 수 있어 최종 소비자가격 인상으로 이어질 수 있다는 분석이다.통계청 관계자는 ""생산비용이 증가할 경우 소비재 가격 인상에 반영될 수 있다""며 가격 상승을 우려했다.반면 생산비용 증가와 과잉공급 등으로 축산농가의 수익은 줄어든 것으로 나타났다.단위당 순수익 감소액이 가장 큰 품목은 산란계로 1마리당 1만3482원의 적자를 기록했다. 원인은 2017년 AI의 반작용으로 과잉공급이 이뤄진 탓이라는 분석이 나왔다.유일하게 전년대비 순수익이 증가한 육우는 1년 전보다 수익이 마리당 46만1000원 증가했지만, 총 수익규모는 여전히 49만2000원 적자를 나타냈다. 육우 1마리를 키울 때마다 49만원 손해를 본 것이다.이외 품목별 전년대비 순수익 증감액은 Δ한우번식우 -2만원 Δ한우비육우 -19만원 Δ젖소 -1만1000원 Δ비육돈 -3만8000원 Δ육계 -2만8000원을 기록했다.suhcrates@news1.kr▶ [ 크립토허브 ] ▶ [ 해피펫 ]▶ 네이버 메인에서 [뉴스1] 구독하기![© 뉴스1코리아(news1.kr), 무단 전재 및 재배포 금지]"
3,2019.05.23. 오전 11:30,"[5월4주 밥상물가]닭고기·삼겹살값, 지역별로 시세 엇갈려","소비 꾸준한 가운데 반입량 따라 추세 변동제철 참외, 물량 늘며 대부분 지역서 하락세【그래픽=뉴시스】5월 4주 주간 밥상물가 동향(73품목 서울 지역 기준, 자료:한국물가협회)       hokma@newsis.com 이예슬 기자 = 5월 넷째주 생활물가 동향을 살펴보면, 삼겹살과 닭고기 등은 수요가 꾸준한 가운데 반입량에 따라 지역별로 엇갈린 시세를 나타냈다.채소류 중에서는 상추·오이 등은 수요증가로 상승세, 양파 등은 반입증가로 하락세에 거래됐다. 참외는 대부분 지역에서 하락세였다.23일 한국물가협회에 따르면 전체 조사 대상 73품목 중 서울 지역 기준, 닭고기·마늘·상추·딸기 등 11품목이 상승했고, 양파·참외 등 9품목은 하락세를 보였다.◇축산물돼지고기 삼겹살은 구이용 등으로 소비가 활발한 가운데 서울·대전에서 500g 기준 1%·2.6% 오른 1만2210원·1만1800원에 거래됐다. 부산은 공급이 원활해 5.3% 내린 1만2800원, 대구·광주는 각각 8950원씩에 판매되면서 보합세를 나타냈다.닭고기는 간식용 등으로 수요가 꾸준한 가운데 반입량에 따라 지역별로 시세가 엇갈렸다. 생닭 한 마리(1㎏) 당 서울·대구는 2.5%·25% 오른 5830원·6000원, 대전은 3.5% 내린 5500원에 거래됐다. 부산·광주는 5480원·5000원으로 지난주와 같은 시세를 유지했다.◇채소류양파는 햇양파의 출하가 꾸준해 대부분 지역에서 하락세였다. 1㎏ 당 서울·부산·대구·대전에서 2.2%·0.6%·12.5%·5.2% 내린 1790원·1650원·1750원·1990원에 판매됐다. 대구는 5.8% 오른 2180원에 거래됐다.오이는 출하 지역의 확대로 반입량이 증가한 가운데 시중 소비가 활발하면서 엇갈린 등락을 나타냈다. 서울·대구·광주는 취청 품종 한 개에 11.2%·12.9%·12.5% 오른 990원·790원·900원에 거래됐다. 부산·대전은 14.7%·12.5% 내린 580원·700원에 팔렸다.대파는 산지에 비가 내리며 출하작업이 지연돼 지난주보다 가격이 상승했다. 한 단에 서울·부산·대전에서 10.1%·11.2%·6% 오른 2180원·1980원·1780원에 판매됐다. 대구와 광주는 각각 1990원, 2590원으로 보합세를 유지했다.◇과일류사과는 산지 출하 조절로 반입물량이 감소했지만 소비 부진으로 하락세였다. 서울·부산에서 개당 11%·25% 내린 1780원·1380원에 거래됐다. 대구·광주·대전은 1600~1800원에 판매됐다.참외는 제철을 맞아 물량이 꾸준히 늘며 대부분 지역에서 값이 내렸다. 1㎏ 기준 서울·부산·대구·광주·대전에서 15%·16.9%·5.5%·18.2%·14.5% 내린 5660원·6540원·5200원·4500원·5900원에 거래됐다.◇수산물바지락은 반입량에 따라 엇갈린 등락을 보였다. 부산·대구는 1㎏ 당 14.5%·0.5% 오른 7900원·1만원에 거래됐다. 광주는 9.1% 내린 9980원에 거래됐고, 서울과 대전은 1만900원·1만500원으로 지난주와 같았다.ashley85@newsis.com▶ 네이버에서 뉴시스 채널 구독하기▶ 뉴시스 빅데이터 MSI 주가시세표 바로가기 <저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>		"
4,2019.05.24. 오후 2:04,"작년 닭고기 한 마리당 순수익 121원, 전년比 18.9%↓","2018년 축산물생산비 조사 결과 ［헤럴드DB］［헤럴드경제=배문숙 기자］지난해 닭고기 한 마리당 순수익은 121원으로 전년보다 20%가량 감소하는 등 육우를 제외한 모든 축산물의 마리당 수익성이 나빠진 것으로 조사됐다.24일 통계청이 발표한 ‘2018년 축산물생산비 조사’ 결과에 따르면 지난해 육계(닭고기) 한 마리당 순수익은 121원으로 전년(149원)보다 18.9% 감소했다.2016년 연말 발생한 조류 인플루엔자(AI)에 따른 대량 살처분으로 닭의 마리당 수익성이 크게 개선되자 농가에서 사육 마릿수를 늘렸고, 지난해 포화 상태가 오면서 닭고기 가격이 하락했기 때문이다.계란 생산을 목적으로 사육하는 산란계는 지난해 마리당 순손실이 1668원이었다. 전년에는 한 마리를 기르면 1만1814원의 이익을 봤으나 손실로 전환했다. 2013년(-314원) 이후 5년 만의 순손실 전환이다. 이는 계란 도매가격이 2017년에는 10개당 1794원이었으나 작년에는 1113원으로 38.0% 내린 데 따른 것이다. 마찬가지로 AI 파동 후 계란값이 좋아지자 농가에서 사육 마릿수를 늘렸고 작년에 포화 상태가 오면서 가격이 떨어졌다.비육돈(돼지고기)의 수익성도 악화했다. 작년 비육돈 한 마리당 순수익은 전년보다 43.9% 감소한 4만8000원이었다.2017년 순수익이 8만6000원으로 수익성이 좋자 작년에 농가에서 사육 마릿수를 늘렸고, 이로 인해 돼지가격이 1년 새 11.8% 하락하면서 수익성에 영향을 미쳤다.소의 수익성도 대부분 나빠졌다. 지난해 한우비육우(소고기) 한 마리당 순손실은 5만7000원으로, 전년 순수익 13만3000원에서 순손실로 전환했다. 2014년(-29만3000원) 이후 4년 만의 순손실이다.한우번식우 한 마리당 순수익은 21만4000원으로 전년보다 8.7%(2만원) 감소했다. 젖소의 순수익은 273만6000원으로 전년보다 0.4%(1만1000원) 줄었다.육우만 모든 농가를 통틀어 유일하게 수익성이 개선됐지만 적자 상황은 여전했다. 지난해 육우 한 마리를 키우면 49만2천원의 손해를 봐, 전년 손해 95만3000원보다는 그 폭이 감소했다.통계청은 “한우와 젖소는 노동비, 가축비 등 사육비가 올라 수익성이 나빠졌고,육우는 축산물 판매가격이 올라 수익성이 개선됐다”고 말했다.작년 축산물을 생산하는 데 들어간 비용은 계란을 제외한 모든 축종에서 전년보다 늘었다. 한우비육우(8.7%), 송아지(4.8%), 육우(4.5%), 육계(2.0%), 우유(1.1%), 비육돈(0.1%) 순으로 증가 폭이 컸다.통계청은 한우비육우와 육우는 가축비, 송아지와 우유는 노동비,육계와 육우는사료비가 올라 생산비가 늘었다고 설명했다. 다만 계란은 가축비와 사료비가 줄면서 생산비가 전년 대비 18.6% 감소했다.oskymoon@heraldcorp.com▶헤럴드경제 채널 구독하면 신세계상품권 100만원 행운이▶5월 감사의달 최대70%할인, 헤럴드 리얼라이프 ▶헤럴드경제 사이트 바로가기 - Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -		"
5,2019.05.31. 오후 3:26,"KFC, 식물성 닭고기 새 메뉴 출시?…""면밀 주시 중"" ","호크먼 사장 ""대체 단백질 제공업체들과 만남 계속""【베이징=AP/뉴시스】지난 2014년 7월31일 중국 베이징의 KFC 매장 모습. 식물을 기반으로 한 대체 고기에 대한 소비자들의 수요가 점점 커지면서 KFC도 식물성 닭고기를 이용한 새 메뉴 개발을 검토할 수 있다고 밝히는 등 관심을 보이고 있다. 2019.5.31【서울=뉴시스】유세진 기자 = 식물을 기반으로 한 단백질이 강력한 시대적 추세로 자리잡고 있는 가운데 켄터키 프라이드 치킨도 이에 관심을 보이고 있다고 CNN이 30일(현지시간) 보도했다.지금까지 고기가 들지 않은 고기는 패스트푸드 체인에서 소고기나 소시지의 대용품으로 쓰여왔다. KFC는 그러나 식물성 고기의 광풍이 닭고기로까지 확산될 경우 식물성 닭고기를 이용한 새 메뉴 개발에 나설 계획이라고 밝혔다.케빈 호크먼 KFC 사장은 ""아직은 식물성 닭고기가 대세라고는 보지 않는다""면서도 ""그러나 식물성 단백질로의 소비 이동을 면밀히 지켜보고 있으며 앞으로 시장이 어떻게 변할 것인지와 관련해 대체 단백질 제공업체들과의 만남을 계속하고 있다""고 말했다.건강 및 환경 문제 등의 이유로 식물성 단백질에 대한 소비자들의 관심은 계속 높아지고 있으며 시장 규모도 커지고 있다. 조사기관 유로모니터 인터내셔널에 따르면 지난해 14억 달러(1조6674억원)이던 미국 내 고기 대체용품 시장 규모는 2023년 25억 달러(2조9770억원)으로 늘어날 것으로 전망된다. 전 세계적으로는 지난해 187억 달러(약 22조2661억원)에서 2023년에는 230억 달러((27조3838억원)으로 유로모니터 인터내셔널은 내다봤다.호크먼 사장은 식물성 닭고기가 점점 더 큰 추세로 자리잡게 된다면 KFC로서는 이를 이용한 메뉴 개발에 나서지 않을 수 없을 것이라고 말했다.KFC의 대변인 역시 성명에서 ""지금으로서는 식물성 닭고기를 이용한 메뉴 개발 계획이 없지만 식물성 고기 시장이 커지고 있음을 잘 알고 있으며 이를 면밀히 주시하고 있다""고 밝혔다.버거킹 등 햄버거 체인들은 이미 대체 고기 제품들을 시판하고 있다. 또 크도바(Qdoba)와 같은 멕시코 요리 패스트푸드점들도 대체용 고기를 이용한 제품들을 속속 선보이고 있다.대체 고기에 대한 수요가 늘면서 관련 주식들도 상승하고 있다. 이달 주당 25달러에 기업공개를 한 '비욘드 미트'는 주가가 100달러에 육박해 최초 가격의 4배 가까이 뛰었다.dbtpwls@newsis.com▶ 네이버에서 뉴시스 채널 구독하기▶ 뉴시스 빅데이터 MSI 주가시세표 바로가기 <저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>		"
6,2019.05.13. 오후 2:37,"사조대림, 에어프라이어용 '사조안심 닭고기 3종' 출시","【서울=뉴시스】박정규 기자 = 사조대림은 최근 가정에서 인기를 끌고 있는 에어프라이어로 조리할 수 있는 '사조안심 닭고기 3종'을 새로 선보인다고 13일 밝혔다.이번 제품은 ▲사조안심 곡물텐더 ▲반마리 후라이드치킨 ▲반마리 로스트치킨 등 3종으로 구성됐다. 사조안심 곡물텐더는 100% 국내산 닭고기 안심살을 비롯해 맵쌀, 현미, 보리 등 곡물과 아몬드, 완두콩 등 견과류를 넣어 만들어 에어프라이어로 조리했을 때 더욱 바삭하고 고소한 맛을 즐길 수 있도록 한 제품이다.사조안심 반마리 후라이드치킨과 반마리 로스트 치킨은100% 국내산 신선 냉장 닭고기로 치킨 반 마리를 두 조각내 1인분 양으로 나눠 간편하게 조리 할 수 있고 1인 가구도 부담 없이 즐길 수 있도록 했다. 반마리 후라이드 치킨 역시 집에서 에어프라이어로 간편하고 저렴하게 후라이드 치킨을 즐길 수 있도록 한 제품이다.가격은 사조안심 곡물텐더 4980원, 반마리 후라이드치킨 6980원, 반마리 로스트치킨 5980원이다.pjk76@newsis.com▶ 네이버에서 뉴시스 채널 구독하기▶ 뉴시스 빅데이터 MSI 주가시세표 바로가기 <저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>		"
7,2019.05.31. 오전 11:22,"""북한서도 아프리카 돼지열병 발생""…관련 테마주 '급등'","			[ 이송렬 기자  ] 아프리카돼지열병(ASF)이 아시아 지역에 확산되면서 국내 양돈 농가의 근심도 커지고 있다. 2011년 구제역 대란으로 사육돼지를 모두 살처분한 경기 이천시의 양돈 농가가 돼지 10여 마리를 새로 들여 놓는 모습.  /한경DB북한에서도 아프리카 돼지열병이 발생했다. 국내 증시에 상장돼 있는 백신 관련주부터 대체재인 닭고기 관련주 등이 강세를 보이고 있다.31일 오전 11시 15분 현재 동물 백신주 이글벳은 전날보다 1210원(23.82%) 상승한 6270원에 거래되고 있다. 진바이오텍도 같은 시간 890원(20.84%) 상승한 5160원을 기록 중이다. 제일바이오 대성미생물 등도 10% 이상의 상승률을 기록 중이다.돼지열병은 현재 치료제가 없어 폐사를 할 수밖에 없는데 이에 따라 돼지고기 가격이 상승하고 대체재인 닭고기 가격도 덩달아 오른다. 이에 닭고기 관련주도 강세다.마니커는 전날보다 100원(9.43%) 상승한 1160원에 거래되고 있다. 체리부로와 하림도 6%대로 오르고 있다.북한 당국은 이날 아프리카돼지열병 발병 사실을 세계동물보건기구(OIE)에 공식 보고했다. 지난 25일 북한 자강도 우시군 북상 협동농장에서 돼지열병 확진이 나왔다.농장 내 사육 중인 돼지 99마리 중 77마리가 아프리카돼지열병으로 폐사하고, 22마리는 살처분됐다. 북한 당국은 이동제한, 봉쇄지역 및 보호지역의 예찰, 사체·부산물·폐기물 처리, 살처분, 소독 등의 방역 조치를 취했다고 밝혔다.이송렬 한경닷컴 기자 yisr0203@hankyung.com▶ 네이버에서 '한국경제' 구독하고 비씨카드·한경레이디스컵 KLPGA 입장권 받자 ▶ 한경닷컴 바로가기  ▶ 모바일한경 구독신청 ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지		"
8,2019.05.13. 오후 3:32,고유가·아프리카돼지열병…국제식량가격 10개월 새 최고치,"4월 세계식량지수 전월 대비 1.6% 올라 / 유제품·육류 큰 폭 상승…곡물은 하락    사진=연합뉴스    국제 식량가격이 최근 10개월 새 최고치를 기록했다. 특히 치즈와 버터 등 유제품과 돼지고기와 쇠고기 등 육류의 상승폭이 컸다. 유가 상승과 아프리카돼지열병(ASF) 확산 때문으로 분석됐다.   유엔식량농업기구(FAO)는 2019년 4월 세계식량지수가 전월(167.5포인트) 대비 1.6% 상승한 170.1포인트를 기록했다고 발표했다고 농림축산식품부가 13일 전했다.   세계식량지수는 곡물과 유지류, 육류, 유제품, 설탕 등 5개 식량 품목군의 매월 국제 거래가를 2002∼2004년 평균 가격(100포인트)과 비교해 그 동향을 파악하는 것이다.   이에 따르면 지난달 유지류와 유제품, 육류, 설탕 국제가격은 상승했고 곡물은 하락했다. 특히 4월 유제품 가격지수는 215.0포인트로 전월(204.3포인트)보다 5.2%나 상승했다. 남반구인 오세아니아의 우유 생산량이 감소한 데다 미리 물량을 확보하려는 수요가 커졌기 때문이다.   4월 육류 가격도 전월(164.1포인트)보다 3.0% 상승한 169.1포인트를 기록했다. 돼지고기의 경우 ASF 확산으로 중국 등 아시아의 수입량이 급증한 탓이고 소고기와 닭고기, 양고기 등은 전반적으로 공급량이 수요를 따라가지 못하기 때문으로 분석됐다.   팜유와 대두유 등 유지류는 지난 3월(127.6포인트)보다 0.8% 상승한 128.7포인트를 기록했다. 팜유는 수출국의 재고량 감소가, 대두유는 미국의 지속적인 수입과 최근 유가 상승이 가격 상승 요인이라고 FAO는 설명했다. 설탕 역시 고유가(에너지 가격 상승) 탓에 전월(180.4포인트)보다 0.7% 상승한 181.7포인트를 기록했다.   쌀과 밀, 옥수수 등 곡물은 5개 품목군 중 유일하게 가격이 하락했다. 4월 곡물 가격지수는 160.1포인트를 기록했는데, 이는 전월 164.7포인트보다 2.8% 하락한 것이다. FAO는 “곡물가격은 4개월 연속 하락했다”며 “이는 수출 가용량 증대와 무역 둔화에 따른 압력 때문”이라고 설명했다.  FAO는 2019/20년도 세계 곡물 생산량은 27억2220만t으로 전년(2018/19년도)보다 2.7%(7070만t) 증가하고, 소비량은 전년(26억8150만t)보다 1.5%(4009만t) 증가한 27억2240만t이 될 것으로 내다봤다. 쌀의 2019/20년도 전 세계 생산량은 5억1700만t, 소비량은 5억1900만t으로 전년 대비 변함이 없거나 1.4% 증가할 것으로 추산됐다.   송민섭 기자 stsong@segye.com ⓒ 세상을 보는 눈, 세계일보"
9,2019.05.23. 오후 7:36,"'생방송투데이' 사천 닭고기냉채&오품냉채, 가산동 차이나는클라스…맛의승부사(오늘방송맛집)","'생방송투데이' 사천 닭고기냉채＆오품냉채, 가산동 차이나는클라스…맛의승부사(오늘방송맛집)(생방송 투데이 오늘방송맛집) 23일 저녁 방송된 SBS '생방송 투데이'에서는 '맛의 승부사' 코너를 통해 '최고의 가성비로 모두를 만족시킨 중화요리' 편이 소개됐다.서울 금천구 가산디지털2로(가산동)에 위치한 '차이나는 클라스'가 이날 '사천 닭고기 냉채'를 비롯한 중화요리 대박 맛집으로 알려진 곳이다.점심시간에만 방문객 200명이 넘을 만큼 가산디지털단지 일대에서도 소문이 자자한 이 곳은 바삭한 탕수육, 깐풍기, 칠리새우, 크림새우 등 두명도 1만원이 안되는 가격으로 미니라 읽고 중자로 즐길 수 있는 넉넉한 인심의 훌륭한 가성비로 호평을 받고 있다. 또한 여름철을 맞아 전복, 새우, 관자, 사태, 송화단까지 다섯가지 일품 재료가 들어간 오품냉채가 인기를 자랑하고, 이 집 최고의 메뉴로는 새콤한 소스와 아삭한 채소까지 들어간 사천식 닭고기 냉채가 손꼽힌다. 특히 식용유를 사용하지 않고 들깨를 사용해 간을 잡은 뒤 춘장을 튀겨내고, 이 튀김춘장에 생강 등을 버무린 닭을 발라 살짝 튀겨서 준비하는 점이 가장 남다른 점이다.디지털편성부 multi@"
