,날짜,기사제목,기사내용
0,2019.01.30. 오전 9:53,"이마트 ""설연휴 가족먹거리 가격 잡아라""…3차 '국민가격' 진행","			[머니투데이 김태현 기자] '어메이징 덤 초밥' /사진제공=이마트이마트가 설을 앞두고 '국민가격' 가족 먹거리를 선보인다.이마트는 31일부터 2월 6일까지 일주일 간 가족 먹거리를 중심으로 국민가격 3차 행사를 진행한다고 30일 밝혔다. 우선 명절 기간 온 가족이 즐기기에 적합한 먹거리에 대한 수요가 늘어나는 점을 감안해 초밥, 회 등을 저렴하게 마련했다.실제 이마트가 지난 2년 간 매출을 분석한 결과 설 연휴 기간 초밥, 회가 전체 매출에서 차지하는 비중은 연평균 대비 최고 50%까지 증가하는 것으로 확인됐다.대표적으로 국내 대형마트 업계 최초로 기존 초밥 위에 회를 한 겹 더 올린 '어메이징 덤 초밥(연어초밥 12입, 광어초밥 3입)'을 정상가보다 20% 저렴한 가격에 선보인다. '모둠회(350g 내외)'도 기존 가격보다 28% 할인된 가격에 판매한다. 해당 상품은 연간 이마트 생선회 판매량의 30%를 차지하는 인기 어종인 연어, 광어로 구성했다.이외에도 신세계포인트 회원을 대상으로 명절 필수품인 한우 냉장 국거리·불고기를 20% 할인 판매하고, 남은 명절 음식을 보관하기 용이한 글라스락 스마트 2입 기획 상품을 정상가 대비 최대 50% 저렴하게 판매한다.한편 이마트가 이번 달 초부터 진행 중인 초특가 국민가격 프로젝트는 소비자들의 호응이 높은 것으로 나타났다. 이마트는 지난 17일부터 23일까지 닭고기 국민가격 프로젝트를 진행한 결과 계육 전체 매출은 전년동기 대비 28.8%, 백숙용 생닭 소분류는 215.3% 신장한 것으로 집계됐다.▶버닝썬 집단폭행 사건, 청원 20만 돌파▶손혜원 목포 부동산 투기논란, 팩트는? ▶뉴스는 머니투데이 김태현 기자 thkim124@mt.co.kr<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지> "
1,2019.01.06. 오후 1:34,'닭고기 가격' 고공행진,"    (서울=연합뉴스) 진성철 기자 = 겨울로 접어들면서 고공행진을 이어가는 닭고기 가격이 새해에도 떨어질 기미를 보이지 않고 있다. 6일 한국육계협회가 발표하는 시세에 따르면 치킨전문점에서 많이 사용하는 9∼10호 닭고기 1㎏은 이달 3일 현재 4천231원을 기록했다. 한 달 전인 작년 12월 4일 3천308원보다 923원, 27.9%나 껑충 뛴 수치다. 1년 전 같은 날의 2천231원과 비교하면 2천원, 무려 89.6% 올랐다.    휴일 6일 서울 노원구 상계중앙시장의 닭전문점에서 사람들이 생닭을 사고 있다.   2019.1.6 zjin@yna.co.kr▶연합뉴스 채널 구독하고 스타벅스 커피 드세요▶뭐 하고 놀까? #흥  ▶쇼미더뉴스! 오늘 많이 본 뉴스영상 "
2,2019.01.30. 오후 2:21,"'계(鷄) 샀거라' 육계협회, 설연휴 닭고기 선물세트 할인판매","[스포츠서울 이우석 전문기자] 한국육계협회(회장 정병학)는 설을 앞두고 소속 회원업체와 공동으로 ‘닭고기 선물세트 특별 할인행사’를 실시한다.이 행사는 설 성수품 수급안정을 위해 추진하는 것으로 최대 30% 할인된 가격으로 판매한다.행사에는 협회 소속 3개 닭고기 회사(하림·마니커·참프레)가 참여하며, 알차고 실속 있는 제품 위주로 선물세트를 꾸몄다.하림은 캔, 신선 양념육, 가공육, 삼계탕 등 총 17종 다양한 제품을 내 놓았다. 가정에서나 야외에서 간편하게 즐길 수 있는 ‘양념육세트’, 닭가슴살로 만든 ‘하림 챔 세트’, 하림의 인기 냉동 가공품을 맛볼 수 있는 ‘하림 복(福)세트’, ‘냉동 즉석삼계탕’ 세트 등 인기 선물세트 4종을 약 20% 할인된 가격으로 구입할 수 있다.  마니커는 제품 2종을 내놓았다. 오리지널 닭가슴살과 닭갈비로 구성된 ‘마니커 즐거운 선물세트’와 허브 닭가슴살과 닭갈비로 구성된 ‘마니커 풍성한 선물세트’를 3만원대로 살 수 있다.참프레는 닭고기 훈제, 냉동 가공품, 닭곰탕·닭개장, 삼계탕 등 총 11종 제품을 내놓았다. 남녀노소 누구나 즐겨 먹을 수 있는 냉동 가공품세트인 ‘냉동 1호’, 따뜻한 국물을 제대로 느낄 수 있는 ‘닭곰탕·닭개장 세트’, 참프레 전통삼계탕인 ‘냉동 삼계탕’ 세트를 저렴한 가격에 구매할 수 있다.육계협회 정병학 회장은 “이번 설을 맞아 닭고기 생산업체들이 닭갈비, 찜닭, 치킨너겟, 삼계탕, 닭가슴살캔 등 누구나 즐겨 먹을 수 있는 닭고기 제품들을 위주로 구성하여 실속을 높인 게 특징이다”고 하면서 “가격도 2∼3만원대라 주는 사람이나 받는 사람이나 부담 없이 즐길 수 있을 것”이라고 말했다.demory@sportsseoul.com▶스포츠서울 공식 페이스북▶팟캐스트 '스포츠서울 야구 X파일'▶스포츠서울 공식 유튜브 채널[기사제보 news@sportsseoul.com]  Copyright ⓒ 스포츠서울&sportsseoul.com"
3,2019.01.22. 오후 8:04,몸값 2배로 뛴 닭고기…치킨집 '이중고',"			【 앵커멘트 】  올해 닭고기 값이 심상치 않습니다.  매년 겨울철이면 조류인플루엔자 때문에 기피하는 사람이 늘면서 자연스레 가격도 다소 낮아졌는데, 올해는 그렇지가 않거든요.  지난해 이맘때보다 가격이 2배가량 껑충 뛰었다고 합니다.  신동규 기자입니다.【 기자 】  세종시의 한 대형마트, 닭고기를 고르는 소비자들의 손길이 신중합니다.  조리가 간편한 절단육 대신,   가격이 저렴한 생닭에 관심을 보이는 사람이 대다수입니다.▶ 인터뷰 : 양석환 / 세종 도담동- ""작년에 비해서는 최근에 조금 닭고기 값이 오른 것 같은 생각이 듭니다. 아무래도 가계 경제에 부담이 되겠지요.""  실제 닭고기 1kg 평균 가격은 4,500원 정도로, 지난해 같은 기간보다 2배 가까이 뛰었습니다.  4천 원대 진입은 2009년 이후 10년 만입니다.  올겨울 조류인플루엔자가 없어 닭고기 수요는 높은 데 비해, 닭 생산량이 적었던 탓입니다.   원재료값 상승은 관련 소상공인들 부담으로 고스란히 이어집니다. 15년 넘게 영업한 서울의 한 치킨집은 3,700원에 받던 닭 한 마리를 최근에는 5천 원에 공급받고 있습니다.▶ 인터뷰 : 치킨집 관계자- ""우리가 닭 가격을 올릴 수도 없고, 이 상황에. 올리면 사람이 안 오고. 치킨 값도 오르고 인건비도 오르고…."" MBN 뉴스 신동규입니다.   영상취재 : 이종호 기자, 김광원 VJ  영상편집 : 김민지▶MBN의 실시간 방송을 고화질로 즐겨보세요▶MBN의 밀착취재! <ON마이크>< Copyright ⓒ MBN(www.mbn.co.kr) 무단전재 및 재배포 금지 >		"
4,2019.01.28. 오후 9:44,취향에 맞게 센스 있는 닭고기 선물로 마음 전하세요,"			종합 식품기업 ㈜하림이 다가오는 설날에 사랑하는 가족이나 지인들에게 감사하는 마음을 전달할 수 있는 ‘2019 설 선물세트’를 출시했다.‘2019 설 선물세트’는 그동안 소비자들로 꾸준히 사랑받아온 하림의 인기 제품을 선별해 2~5만원대 세트로 구성한 것이 특징이다. △쉽고 빠르게 조리가 가능해 바쁜 현대인들에게 인기 좋은 ‘양념육 세트’, △간편한 간식과 안주, 야식으로 즐기기 좋은 ‘HMR세트’, △화끈한 맛이 일품인 ‘뼈 없는 양념닭발 세트’, △맛과 영양을 함께 챙길 수 있는 ‘Slim 훈제세트’, △닭발육수로 낸 국물 맛이 일품인 ‘하림 삼계탕 세트’ 등 다양하게 준비했다./ 하림 제공 @머니S MNB, 식품 외식 유통 · 프랜차이즈 가맹 & 유망 창업 아이템의 모든 것‘양념육 세트’는 가정이나 야외에서 간편하게 즐길 수 있는 하림의 대표적인 양념육 제품들로 구성됐다. ‘춘천식 순살 닭갈비(매운맛)’ ‘안동식 순살찜닭’ ‘매실숙성 토종닭 순살 닭갈비’ ’매실숙성 토종닭 순살찜닭’ ‘참진 얼큰 짜글이’ ‘포장마차식 양념 근위’와 ‘포장마차식 뼈 없는 양념닭발’ 등 총 7종 12봉이 4만8000원. 신선한 닭고기에 특색 있는 양념이 가미되어 프라이팬이나 전자레인지에 10분정도만 조리하면 푸짐한 요리를 단번에 뚝딱 완성할 수 있다. 매콤한 맛이 일품인 '뼈없는 양념닭발'과 '근위 볶음이'만으로 구성된 '뼈없는 양념닭발 세트'도 있다. 가격은 5만3000원.간식, 야식, 안주로 다양하게 활용할 수 있는 ‘HMR세트’도 있다. ‘그릴드 바비큐 봉’과 ‘버팔로 치킨 봉 스파이시’ ‘갈릭 훈제 치킨’ 3종이 총 7봉으로 구성되어 있다. 튀기지 않고 기름기를 쫙 빼 쫄깃한 식감과 담백한 맛이 특징이며 에어프라이어나 전자레인지에 7분 내외로 조리하면 완성되는 가정간편식이다. 가격은 3만 9000원.실속 있는 2만원대 제품도 눈에 띈다. ‘하림 삼계탕 세트’는 닭발을 우려낸 진한 육수에 국내산 신선한 닭과 우수한 부재료를 넣고 끓인 '하림 신선 삼계탕' 3봉으로 구성되어 있으며 가격은 2만 8000원.그 외에 건강한 가슴살과 훈제치킨 제품만으로 구성된 ‘Slim 훈제 세트’(4만 8000원), 토종닭 특유의 쫄깃함과 훈제의 담백함을 동시에 맛볼 수 있는 ‘토종닭 훈제 세트’(4만 6000원), 쫄깃한 토종닭을 볶음탕으로 즐기는 ‘토종닭 볶음탕 세트’(3만 8000원) 등이 있다.하림 마케팅팀 관계자는 “2019년 설 연휴를 맞아 소비자들이 닭고기를 활용한 다양하고 푸짐한 요리로 더욱 풍성하게 보내셨으면 하는 바람을 담아 설 선물세트를 기획하게 되었다”며 “받는 분의 취향을 고려해 하림의 정성을 담은 특별한 선물로 감사와 사랑의 마음을 전하시길 바란다”고 말했다.강동완 기자 <저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스' 머니S, 무단전재 및 재배포 금지>▶ 고수들의 재테크 비법 ▶ 박학다식 '이건희칼럼' "
5,2019.01.17. 오전 10:12,"이마트, 닭고기·쌀 등 국민가격 2차 상품 공개","올해 첫 선을 보인 ‘국민가격’ 프로젝트가 제대로 통했다.국민가격은 ‘이마트가 국민의 가계살림에 힘이 되도록 생활필수품 가격을 내리는 프로젝트’로, 고객들의 장바구니 물가에 큰 영향을 미치는 신선식품 할인이 핵심이다. 990삼겹살/목심, 990전복, 계란 등 가계 물가를 낮출 수 있는 파괴력 있는 신선식품을 추가한 1차 국민가격 상품은 연일 완판을 거듭하며 연초부터 흥행에 성공한 것.이마트는 첫 국민가격 상품 흥행 바통을 이어받아 오는 17일부터 23일까지 일주간 몸값 고공행진 중인 닭고기를 비롯해 쌀과 조개 등 국민가격 2차 상품을 선보인다.우선, 두 마리 생닭(500g*2/700g*2)을 신세계 포인트 회원 대상으로 기존 가격보다 40% 할인한 4380원, 6960원에 판매한다. 마리당 최저 2190원에 선보이는 셈.이마트는 닭고기는 저렴하게 즐길 수 있는 대중 육류이지만 최근 혹한의 여파로 생닭 시세가 가파르게 상승 중이라는 점에 주목했다.이마트는 생닭 비수기로 알려진 1월 판매 촉진을 위해 협력업체와 손잡고 지난 9월부터 병아리 입식을 늘리는 계획생산을 추진, 마리당 판매가격을 도매수준으로 가격을 낮춰 대규모 소비촉진 행사를 준비했다.뿐만 아니라 대형마트 주력 사이즈인 1kg 생닭 대신 복 시즌에만 일시적으로 운영하던 700g 사이즈 생닭 등 작은 사이즈 닭을 활용함으로써 가격 차별화를 꾀했다.한국인의 주식으로 장바구니 물가에 상징적으로 영향을 미치는 쌀도 국민가격 상품으로 선정했다.이마트는 지난해 햇곡 수매 시기부터 의성군과 사전 기획을 통해 ‘바른고을 의성진(眞)쌀 10kg’을 기존 대비 25% 가량 가격을 낮춰 2만3900원에 국민가격 상품으로 준비했다. 평소 대비 2배 이상 할인 폭을 키워 최근 1년 중 가장 큰 할인 폭이다. 이를 통해 이마트는 안정적인 판로 제공하는 동시에 경상도의 숨겨진 최대 곡창 단지 중 하나인 의성군의 농산물 통합 브랜드를 알림으로써 농가와 상생을 도모한다는 취지다이 밖에도 제철을 맞아 맛이 좋은 조개류를 모아 고객이 봉투에 골라 담을 수 있는 ‘찜조개 골라 담기(봉)’과 깐마늘(1kg/*봉)도 4980원에 국민가격 상품으로 준비했다. 가리비, 홍합, 석화, 피조개 4종을 고객 취향에 따라 봉지에 골라 담을 수 있어 단품으로 구매하는 것 보다 평균 40% 가량 저렴하다.국민가격 프로젝트는 행사기간 동안 연일 준비 물량 완판을 이어가며 연초 소비자 체감 물가를 낮추는데 기여했다는 평가다.1차 국민가격 상품으로 선보인 990 삼겹살/목심, 990전복, 계란은 최대 50% 가량 저렴한 가격에 내놓자 행사기간 동안 연일 완판 행진이 이어졌다.그 결과 행사를 시작한 3일 이후 현재까지(~15일) 이마트 전체 매출은 작년 동기 대비 6.5%뛰었고, 행사상품이 속한 소분류 매출의 경우 평균 42%나 증가했다.세부 상품별로는 이마트 역대 최저가인‘990원’에 선보인 활 전복은 행사기간인 3일부터 9일까지 74톤의 판매고를 올렸다. 평소 대비 10배 이상이 이번 행사기간에 팔리며, 역대 이마트 전복 실적 중 최단기간 최대물량 판매 신기록을 세웠다.‘990삼겹살/목심’과 ‘알찬란(대란/30입)’역시 같은 기간 각각 300톤, 40만판이 판매되며 6주간 판매할 물량을 단 일주일 만에 판매됐다. 삽겹살/목심은 돼지 2만마리 분량이다.매출뿐만 아니라 국민가격 상품을 구매하기 위해 이마트를 찾은 고객이 오프라인 매장 방문이 증가하며 ‘국민가격 프로젝트’가 오프라인 할인점의 경쟁력 강화에도 톡톡히 역할을 했다는 평가다.행사기간 중 유입된 신규 고객만 17만명을 넘어서며 작년 같은 기간 신규고객 방문수와 비교해 13% 늘어난 것으로 집계됐다.최훈학 이마트 마케팅 담당은 “오프라인은 물론 온라인과 비교해도 경쟁력 있는 가격들로 앞세운 국민가격 상품이 고객들로부터 호평을 받으며 오프라인 매장의 신규 고객 유입에도 기여했다”고 분석하며 “앞으로도 소비자 체감물가를 낮출 수 있는 파괴력을 갖춘 행사상품을 선보일 것”이라고 말했다.데일리안 최승근 기자 (csk3480@dailian.co.kr)ⓒ (주)데일리안 - 무단전재, 변형, 무단배포 금지		"
6,2019.01.14. 오후 12:58,닭고기 가격 고공행진,"(서울=뉴스1) 유승관 기자 = 14일 서울시내 한 대형마트에서 시민들이 닭고기를 고르고 있다.13일 농업관측본부에 따르면 이달 전국 평균 생계 유통가격은 1kg당 2,017원으로 지난해 1월 926원보다 1,091원 올랐다. 지난해 12월 1,740원을 기록하며 전월보다 500원 이상 올랐던 생계 유통가격은 이달 들어 2,000원대를 돌파하며 사실상 사상 최고치를 기록, 두배 가까이 오른 가격에 서민 가계와 자영업자 부담이 커지고 있다. 2019.1.14/뉴스1fotogyoo@news1.kr▶ [ 크립토허브 ]  [ 터닝포인트 2019 ] ▶ 에어팟&스타벅스 커피 경품(~1/25)[© 뉴스1코리아(news1.kr), 무단 전재 및 재배포 금지]"
7,2019.01.11. 오전 10:29,"교촌치킨, 닭고기 가격 상승에 협력업체 원자재 비용 지원","-육계 가격 고공행진에 원자재 매입 비용 지원-1월 한달 간 한시 적용, 지원 규모 5억원 이상[헤럴드경제=이유정 기자] 교촌치킨을 운영하는 교촌에프앤비는 최근 육계 가격이 높은 시세를 지속해서 이어감에 따른 협력업체와의 상생 방안으로 원자재 비용을 지원한다고 11일 밝혔다.겨울로 접어들며 연일 고공행진을 벌리고 있는 원자재 가격은 혹한기에 도계량 및 대닭(1.6㎏ 이상) 생산 감소에 따른 것으로 관련 산업 전체의 시름이 깊어지고 있다. 특히 부분육 가공업체를 필두로 육계 가공업체 전반에 걸쳐 위기감이 고조되고 있는 분위기다.이에 교촌은 약 50여 개에 이르는 육계 가공 협력업체와의 상생을 통해 위기를 극복하겠다는 방침을 정하고, 원자재 비용을 지원하기로 했다. 가맹점과 협력업체 중간에서 원자재 비용을 지원하며, 치킨 도소매 유통과정 전반에 운영 안정화를 꾀한다는 것이다.지원 방식은 교촌 본사가 육계 가공 업체에서 매입하는 원자재 입고가를 품목별로 100~200원 인상하는 방식으로 지원된다. 1월 한 달간 한시적으로 적용되며, 지원 규모는 약 5억원 이상이다. 이와 별도로 교촌은 최근 가맹점에도 원자재 무상 지원 방식으로 상생 지원에 나선 바 있다. 지원 품목은 1월 출시된 신제품 교촌 허니 순살 원자재 일부로 규모는 약 5억원 상당이다. 교촌 관계자는 “최근 지속되고 있는 육계 가격 상승으로 인한 위기 상황에 대해 고통을 나누고자 이번 원자재 비용 지원을 결정했다”며 “교촌은 현재 업계 전체가 위기임을 깊이 공감하고 앞으로 위기의 지속 가능성에도 대비해 여러 방안으로 대책을 마련하고 있다”고 말했다.kula@heraldcorp.com▶네이버에서 헤럴드경제 채널 구독하기▶설날선물도 앱으로 구매하고 매직세제 받자! 헤럴드 리얼라이프 ▶헤럴드경제 사이트 바로가기 - Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -		"
8,2019.01.24. 오전 3:31,"한국육계협회, 실속 있는 닭고기 선물세트 할인판매 추진","이번 설에도 닭고기 선물세트로 감사의 마음을 전하세요 한국육계협회 제공한국육계협회(회장 정병학)에서는 설을 앞두고 소속 회원업체와 공동으로 ‘닭고기 선물세트 특별 할인행사’를 실시한다고 23일 밝혔다.이번 행사는 협회 소속 4개 닭고기 회사(하림, 마니커, 참프레, 올품)가 참여하며, 알차고 실속 있는 제품 위주로 선물세트를 꾸몄으며 설 성수품 수급안정을 위해 추진하는 것으로 최대 30% 할인된 가격으로 판매된다.하림은 캔, 신선 양념육, 가공육, 삼계탕 등 총 17종의 다양한 제품을 내 놓았으며, 가정에서나 야외에서 간편하게 즐길 수 있는 ‘양념육세트’, 닭가슴살로 만든 ‘하림 챔 세트’, 하림의 인기 냉동 가공품을 맛볼 수 있는 ‘하림 복(福)세트’, ‘냉동 즉석삼계탕’ 세트 등 인기 선물세트 4종을 약 20% 할인된 가격으로 구매할 수 있다. 마니커는 총 2종의 제품을 내 놓았으며, 오리지널 닭가슴살과 닭갈비로 구성된 ‘마니커 즐거운 선물세트’와 허브 닭가슴살과 닭갈비로 구성된 ‘마니커 풍성한 선물세트’를 3만원대로 살 수 있다.참프레는 닭고기 훈제, 냉동 가공품, 닭곰탕·닭개장, 삼계탕 등 총 11종의 제품을 내 놓았으며, 남녀노소 누구나 즐겨 먹을 수 있는 냉동 가공품세트인 ‘냉동 1호’, 따뜻한 국물을 제대로 느낄 수 있는 ‘닭곰탕·닭개장 세트’, 참프레 전통삼계탕인 ‘냉동 삼계탕’ 세트를 저렴한 가격에 구매할 수 있다. 한국육계협회 제공올품은 삼계탕, 절단육, 부분육, 가공육 등 총 7종의 제품을 내 놓았으며, 기존의 퍽퍽한 식감의 닭가슴살이 아닌 부드럽게 즐길 수 있는 그릴드 닭가슴살과 한입에 쏙쏙 먹기 편한 한입순살치킨으로 구성된 ‘가공육 세트 2호’를 20% 할인된 가격으로 구매할 수 있다.이들 설 선물세트 구매를 원하는 사람은 오는 28일까지 육계협회로 전화나 이메일을 통해 주문하면 되며, 무료 택배 배송이 된다. 육계협회 정병학 회장은 “이번 설을 맞아 닭고기 생산업체들이 닭갈비, 찜닭, 치킨너겟, 삼계탕, 닭가슴살캔 등 누구나 즐겨 먹을 수 있는 닭고기 제품들을 위주로 구성하여 실속을 높인 게 특징이다”고 하면서 “가격도 2∼3만원대라 주는 사람이나 받는 사람이나 부담 없이 즐길 수 있을 것”이라고 말했다.지차수 선임기자chasoo@segye.comⓒ 세상을 보는 눈, 글로벌 미디어 세계일보"
9,2019.01.06. 오후 12:56,떨어질줄 모르는 닭고기 가격,"                  지난 겨울부터 상승세를 이어가던 닭고기 가격이 새해 들어서도 떨어질 기미를 보이지 않고 있다. 6일 한국육계협회 발표 시세에 따르면 치킨전문점에서 많이 사용하는 9~10호 닭고기 1kg이 작년 12월 4일 3308원에서 3일 기준 27.9% 오른 4231원을 기록했다. 1년전 가격이 2231원임을 감안하면 89.6%가 올랐다. 육가공업계 관계자는 한파와 철저한 방역으로 인해 고병원성 조류인플루엔자가 발생하지 않은 것, 닭고기 수입량 증가를 원인으로 꼽았다. 사진은 6일 서울 한 대형마트의 닭고기 판매 부스. 사진=서동일 기자tekken4@fnnews.com 서동일 기자     ▶ 세상의 모든 골 때리는 이야기 'fn파스'▶ 속보이는 연예뉴스 fn스타  ※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지		"
