,날짜,기사제목,기사내용
0,2018.01.27. 오후 4:46,"하림, '가심비’ 높은 닭고기 선물 세트로 새해 복을 나누세요","			닭고기 전문기업 ㈜하림이 설을 앞두고 소비자에게 많은 사랑을 받고 있는 닭고기 제품들을 엄선해 구성한 ‘2018 하림 설 선물세트’를 출시했다. 신선육부터 양념육, 삼계탕까지 다양한 구성을 통해 선물을 주는 사람도 받는 사람도 모두가 만족할 수 있도록 정성껏 준비했다.친환경 닭고기 브랜드 자연실록의 대표 제품들을 담은 ‘자연실록 냉장1호(5만2000원)’는 하림의 프리미엄 명절 선물세트다. 자연실록 제품은 생산에서 유통 품질관리까지 까다롭게 관리하여 자연의 신선함과 맛, 그리고 영양을 살렸다. 선물세트에는 국내산 황기도 함께 포함되어있어, 건강한 맛을 즐길 수 있다.본문 이미지 영역토종닭의 쫄깃함과 훈제의 담백함을 동시에 즐길 수 있는 ‘토종닭 훈제 세트(4만5000원)’도 선물용으로 인기다. 국산 참나무 톱밥으로 토종닭을 통째로 훈연해, 닭고기 특유의 냄새를 잡아 깔끔하고 깊은 풍미를 느낄 수 있다. ‘토종닭 훈제’ 2봉과 ‘토종닭 통다리 훈제’ 6봉으로 구성되어 있다.‘양념육 세트(4만 5500원)’는 요리할 시간이 부족한 맞벌이 부부에게 안성맞춤이다. 올 한해 많은 인기를 끌었던 하림만의 노하우가 담긴 특제 소스의 ‘춘천식 순살닭갈비’와 ‘포장마차식 양념근위’, ‘포장마차식 뼈없는양념닭발’, 그리고 올해 새로 출시된 ‘토종닭 매실숙성 순살닭갈비’ 등이 들어있다. 익히기만 하면 바로 먹을 수 있도록 양념이 함께 버무려져 있어 가정에서 혹은 야외에서도 간편하게 즐길 수 있다.2018년 황금개의 해를 맞아 하림이 새롭게 구성한 ‘신년황금기획세트(2만8000원)’는 IFF 가슴살과 IFF봉, IFF윙, 북채 등 부위별로 다양하게 구성되어 있어 실용적이다. 신선한 원료육을 사용, 급속 동결해 장기간 보관 시에도 쫄깃한 식감과 풍부한 육즙을 즐길 수 있다. 부위에 따라 개별로 급속 동결시킨 것으로 사용 시 필요한 양만큼 나눌 수 있어 간편하다.‘냉동4호(5만3000원)’는 소비자들의 꾸준한 사랑을 받고 있는 하림의 스테디셀러다. 아이들이 좋아하는 하림의 대표 장수브랜드인 ‘용가리치킨’과 ‘웰핫도그’, 집에서 즐기는 지역별미 ‘밥은 요리다’, 부드러운 닭고기와 푹 고은 천연 육수로 빚은 ‘꿩대신 닭 왕교자’ 등으로 구성되어 있다.대한민국 대표 사계절 보양식인 삼계탕 선물세트도 준비되어 있다. 냉동에서 보관할 수 있는 ‘즉석 삼계탕 세트(4만1000원)’, 상온에서도 보관이 가능한 ‘고향 삼계탕 세트(2만8000원), ‘반마리 삼계탕 세트(2만 원)’ 등 다양한 가격대로 구성되어있다.강동완 기자 <저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스' 머니S, 무단전재 및 재배포 금지>▶지금 사람들이 가장 많이 보고 있는 기사▶스타들은 뭐 입지?"
1,2018.01.27. 오전 8:55,"""저렴한 가격, 고품질로 즐긴다"" 싼게 비지떡 '옛말'","왼쪽 위에서부터 시계방향으로 ‘피자마루’, ‘이바돔’, ‘코어닭’ 제공.[이데일리 정태선 기자] 원재료 자체 경쟁력으로 동종 업계 대비 저렴한 가격에도 높은 품질로 승부하는 곳들이 인기를 얻고 있다.한 때는 무한리필, 말도 안 되는 저렴한 가격으로 환심을 사던 곳들이 우후죽순으로 생겨나기도 했지만, 막상 맛을 보고 왜 저렴한지 알겠다는 말이 나오는 순간 영락없이 문을 닫곤 했다. 가격이 싸다고 품질까지 싸면 소비자의 외면을 받는다.  이제는 손색 없는 맛과 품질에도 합리적인 가격을 제공하는 외식업체들이 소비자들의 환영받고 있다.27일 업계 따르면 정통 피자 브랜드 ‘피자마루’는 착한 가격과 맛으로 대통령에게도 인정받은 피자로 유명세를 얻었다. 녹차와 클로렐라 외 총 12가지의 천연 잡곡이 함유된 피자의 도우는 피자업계 최초 특허를 획득했다. 거기다 100% 천연 치즈를 사용해 고소한 풍미와 맛을 더했다. 이렇듯 해외 프랜차이즈와 비교해도 손색없는 맛과 영양에도 저렴한 가격유지가 가능한 이유에 대해 피자마루 관계자는 “마케팅, 배달, 매장관리 등의 부수적인 비용을 줄여 맛과 품질에 집중했기 때문이다”고 말했다.감자탕 전문점 ‘이바돔감자탕’은 대중적인 가격에 높은 맛과 품질로 대표적인 감자탕 브랜드로 자리매김 했다. 이바돔의 맛의 비결은 합리적인 가격으로 유통 받을 수 있는 건강한 식재료에 있다. 전남 영광의 비옥한 황토에서 직접 영양분을 듬뿍 담아 키운 각종 농산물들은 국물의 깊은 맛을 더한다. 자체적으로 전국 유통망을 갖고 있어 지리적, 규모적인 특성에 맞게 유통이 가능하다. 덕분에 소비자 입장에서는 다른 곳과 비슷한 가격에 더 높은 품질의 음식을 맛볼 수 있다.건강한 다이어트의 도우미 ‘코어닭’은 건강하게 자란 닭으로 육계한 닭가슴살만을 판매하고 있다. 건강한 상태의 닭들을 직접 사육부터 제품 생산까지 모든 공정을 직접 관리한다. 포화상태의 닭가슴살 시장에서 직접 키운 닭으로 영양가를 높인 점은 코어닭의 강점이자 차별화이다. 이렇듯 최상등급의 닭고기는 큐브, 스테이크, 소시지 등 다양한 형태의 제품을 제공하고 있다. 더욱 건강한 맛을 위해 MSG의 최소화에도 타 브랜드에 버금가는 맛을 자랑하고 있어 헬스족들의 이목을 집중시키고 있다.김동현 창업디렉터는 “싼게 비지떡이라는 말처럼 저렴한 가격에 맞는 저렴한 퀄리티는 고객들에게 외면 받을 수 밖에 없다”며 “고객들의 눈도 높아져서 이제는 저렴한 가격만을 내세우기 보다는 저렴한 가격 대비 반전의 무언가가 중요하다”고 말했다.정태선 (windy@edaily.co.kr)▶[가상화폐 열풍] 시장분석과 투자 정보를 한눈에...▶[네이버 채널]에서 ‘이데일리’ 구독하기 | ▶[카카오톡] 플친 맺기~♥＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
2,2018.01.26. 오전 5:30,[최강한파]배추·오이 '꽁꽁'…과일·채소류 가격 상승세,"【대구=뉴시스】배소영 기자 = 한파주의보가 내려진 24일 오전 대구 중구 대신동 서문시장 일대 노점상이 추운 날씨 탓에 대부분 닫혀 있다. 2018.01.25. soso@newsis.com 【서울=뉴시스】김종민 기자 = 전국이 꽁꽁 얼어붙는 강추위가 1월 넷째주 생활물가에도 영향을 미쳤다. 26일 사단법인 한국물가협회의 1월 넷째주 생활물가 동향에 따르면 한파 경보 발령 등으로 과채류 대부분의 품목 가격이 상승했다. 수산물류도 산지 해역의 조업부진으로 오름세에 거래됐다. 그 외는 품목별 반입량에 따라 지역별로 등락세를 나타냈다. 축산물류 중 돼지고기 삼겹살은 매기가 한산한 가운데 사육마릿수 증가로 공급이 원활하면서 하락세로 판매됐다. 채소류 중 감자·배추·오이 등은 반입감소로 상승세, 양파는 수요감소로 하락세에 거래됐다. 과일류 중 배는 설 명절을 앞두고 전문상인들의 출하물량 조절로 시장 내 반입량이 감소하면서 상승세를 보였다. 전체 조사대상 73품목 중 서울 지역 기준, 고춧가루·무·호박·감귤 등 17품목이 상승세, 닭고기·소고기·토마토 등 5품목은 하락세다.◇채소류 배추는 기록적인 한파의 영향으로 산지 출하작업이 지연되면서 가격이 올랐다. 서울·대구·광주에서 한 포기에 각각 11.2% 올라 2990원씩에 거래됐고, 부산·대전은 2680원씩에 판매되면서 강보합세를 나타냈다. 오이는 기온하락으로 인한 재배시설 유지비용 증가와 생산량 감소로 지난주에 이어 상승세에 거래됐다. 개당 서울·부산·대구·광주·대전에서 10.8%(1330원)·21.5%(1980원)·10.1%(1090원)·15.8%(1390원)·9.1%(1200원) 올랐다. 애호박은 기온이 내려가며 국 및 탕용으로 수요가 꾸준하나 생육부진으로 반입량이 감소하면서 오름세를 나타냈다. 서울·부산·대구·광주에서 개당 15.1~89.8% 올라 2990~2430선에서 거래됐다.  ◇과일류배는 설 명절을 앞두고 전문상인들의 출하물량 조절로 시장 내 반입량이 감소하면서 상승했다. 부산·대전에서 개당 9%·13.3% 올라 2180원·3400원에 판매됐고, 서울·대구·광주는 3640원·3600원·3630원으로 보합세를 유지했다. 딸기는 시중 소비가 활발한 가운데 반입량에 따라 지역별로 엇갈린 시세를 나타냈다. ㎏당 서울·대전은 0.4%·14.5% 오른 1만5960원·1만5800원, 부산·광주는 7.2%·4.4% 내린 1만5960원·1만5200원에 거래됐고, 대구는 1만5900원으로 지난주와 같았다.   ◇수산물  갈치는 연일 영하권의 날씨가 이어지면서 주 해역의 풍랑 등으로 조업이 부진해 상승세를 보였다. 서울·대구·광주·대전에서 생물 한 마리당 1.1~21.5% 올라 7900~8490원 선에서 거래됐고, 부산은 9.5% 내린 8090원에 판매됐다. ◇축산물돼지고기 삼겹살은 매기가 한산한 가운데 사육마릿수 증가로 공급이 원활하면서 하락세를 보였다. 500g당 서울·부산·대전에서 2.1%·10.1%·2% 내린 1만210원·8000원·9600원에 거래됐고, 대구는 반입감소로 13.3% 오른 8950원·광주는 지난주와 같은 8900원에 판매됐다.소고기 한우는 공급이 원활한 가운데 대전에서 등심(1등급) 500g당 3.4%·0.5% 내린 4만2500원·4만2600원에 판매됐고, 서울은 7.6% 오른 4만2380원에 거래됐다. 대구·광주는 4만2450원·4만4750원으로 지난주와 같았다. jmkim@newsis.com▶ 뉴시스 빅데이터 MSI 주가시세표 바로가기 ▶ 뉴시스 SNS [페이스북] [트위터]<저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>"
3,2018.01.20. 오후 3:46,"소비자 대상 설문조사 ""치킨가격 인상 반대"" 많아","			치킨 프랜차이즈 업체들이 연초부터 치킨가격을 인상하려는 움직임을 보이고 있지만 대다수의 소비자들은 이에 반대하는 것으로 나타났다. 온라인 식품전문 매체인 '밥상머리뉴스'가 소비자들을 대상으로 치킨가격 인상의 타당성 여부에 대해 설문조사를 실시한 결과, 응답자의 83%가 ‘타당성이 없다’ 즉 치킨가격 인상에 반대하는 것으로 나타났다. 밥상머리뉴스는 1월 9일부터 17일까지 일주일간 SNS를 통해 총 2550명의 소비자가 참여한 설문조사를 진행했다.설문조사 결과는 ‘타당성 없다(가격인상 반대)’는 의견이 83%로 압도적이었으며, ‘타당성 있다(가격인상 찬성)’는 17%에 불과했다. 본문 이미지 영역▲ 밥상머리뉴스 제공 @머니S MNB, 식품 외식 유통 · 프랜차이즈 가맹 & 유망 창업 아이템의 모든 것가격인상을 반대하는 구체적인 의견으로는 ‘요즘 물가가 너무 올라 외식 한 번 하기가 부담스러운데, 치킨가격마저 오르면 대체 뭘 먹어야 되나’, ‘프랜차이즈 치킨 값이 2만원인 시대인데 여기서 가격이 더 오른다면 가격이 저렴한 동네 치킨을 사먹을 수밖에 없다’는 의견이 많았다. 또 ‘2천원짜리 닭이 왜 10배 가까이 뻥튀기 되는 것인가’, ‘전체적인 물가 상승으로 업계 입장을 어느 정도 이해는 하지만 그래도 지금의 치킨가격도 충분히 비싸다 할 수 있다’라는 의견들이 줄을 이었다. 반면에 가격인상을 찬성하는 구체적인 의견으로는 ‘치킨가격에는 닭고기 원가보다 인건비와 임대료 등이 차지하는 비중이 큰데, 인상이 필요하지 않나’, ‘10년 전 물가와 지금의 물가를 비교해 보면 치킨가격은 오히려 인상폭이 크지 않다’는 의견이 많았다. 또 ‘다른 외식 음식들도 가격이 다 오르는 추세인데 유독 치킨만 가격 논란이 심한 것 같다’, ‘세상 물가가 다 올라가는데 치킨 사장들에게만 이를 견디라고 하는 것은 너무 가혹하지 않나’라는 의견도 있었다. 강동완 기자 <저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스' 머니S, 무단전재 및 재배포 금지>		"
4,2018.01.09. 오전 10:29,2018년 2만원대 치킨 탄생하나?…업계 가격 인상 가능성↑,"			치킨 업계가 다시 가격 인상 카드를 만지고 있다.9일 연합뉴스의 보도에 따르면 치킨 프랜차이즈 업계는 올해 가격 인상을 고려하고 있다. 최저임금이 16.4%로 인건비 부담이 커진 데다, 최근 배달 수수료까지 오르면서 치킨 가격 인상을 불가피하다는 입장이다.한 치킨 프랜차이즈 업계 관계자는 “상당수 업체가 짧게는 3년에서 길게는 8년까지 메뉴 가격을 올리지 못했다”며 “올해 최저임금 대폭 인상에 따른 인건비 부담까지 커지면서 가맹주점들이 인상을 요구하고 있다”고 말했다.BBQ의 시크릿 양념치킨 포스터또 치킨 업체들은 최근 일부 배달 대행업체들이 최저임금 인상을 이유로 배달 수수료를 건당 500원에서 1000원까지 올려 가맹주점의 부담이 가중된 상황이라고 설명했다.치킨 가격 인상의 포문은 KFC가 열었다.KFC는 지난달 29일 치킨과 햄버거 등 24개 품목 가격을 평균 5.9% 인상했다. 원자재, 인건비 상승을 명문으로 했고, 정부가 이를 규제하지는 않았다.BBQ는 지난해 3월 1000원~2000원의 치킨 가격 인상을 추진했으나 농림축산식품부가 “치킨 업계가 조류인플루엔자로 혼란스러운 틈을 타 가격을 인상할 경우 세무 조사와 공정거래위원회 조사 의뢰도 불사하겠다”고 엄포를 놨다. 이에 소비자들 역시 반감이 고조되면서 결국 BBQ는 결정을 철회했다.축산물유통종합정보센터 홈페이지 캡처치킨 원가에 대한 국민들의 불신이 커지자 정부는 지난해 닭고기 가격 공시제까지 도입했다. 축산물유통종합정보센터에 따르면 6일 기준 닭고기의 프랜차이즈 유통 가격은 2506원이다.결국 2000~3000원대에 납품받은 닭고기가 치킨 가공 및 조리 단계를 거쳐 2만원 가까운 가격에 판매되고 있는 것이다.치킨 프렌차이즈 업계에서는 점원과 배달원 인건비, 점포 임대료, 튀김 기름 등 각종 재료비 가격을 포함하면 마리 당 실제 이익은 2000원대에 불과하다고 주장한다.논란이 일었던 BBQ의 사과문. 공식 블로그 캡처지난해 ‘총대’를 멨던 BBQ가 다시 한번 가격 인상 가능성을 내비쳤다.BBQ 윤경주 대표는 최근 가맹주점에게 서한을 보내 “지난 8년간 원부재료, 임대료, 인건비 등 물가가 상승했으나 치킨값은 그대로 유지됐다”며 “본사 노력에도 가격 인상은 무산됐지만, 패밀리(가맹점주) 여러분이 처한 상황을 개선하려는 노력을 계속될 것”이라고 말했다.교촌, BHC, 네네치킨 등도 시기를 저울질하며 경쟁업체의 눈치를 보고 있는 상황이다.업계 관계자는 “이미 수년간 가격을 못 올려 인상 요인이 누적된 데다 올해 최저임금까지 대폭 인상되면서 가격 인상 분위기가 팽배한 상황”이라며 “서로 누가 총대를 멜지 눈치만 보고 있다”고 말했다.<이선명 기자 57km@kyunghyang.com>▶ [스포츠경향 인기 무료만화 보기]▶ [핫&스타포토]©스포츠경향(sports.khan.co.kr), 무단전재 및 재배포 금지		"
5,2018.01.15. 오전 10:36,"올해도 ""금징어""... 지난해보다 가격 41% 올라","사진 정지윤기자 color@kyunghyang.com지난달 오징어 가격이 전년동기에 비해 41% 폭등하면서 9개월째 올랐다. 한국소비자원이 가격정보 종합포털 ‘참가격’(www.price.go.kr)을 분석했더니 크기 25cm 내외의 국산 오징어 2마리 가격은 2016년 12월 6125원에서 지난해 12월 8643원으로 오른 것으로 나타났다. 기후변화 영향으로 바다 수온이 상승하면서 난류성 어종인 오징어가 북한쪽 바다로 확장 이동한 것으로 업계는 보고 있다. 중국 어선들의 싹쓸이 조업이 계속되면서 어획량도 줄었다. 이로 인해 가격이 치솟았다.이어 가격이 많이 오른 품목은 감자였다. 국내산 껍질있는 감자 100g은 같은 기간 369원에서 458원으로 24.1% 올랐다. 김밥김은 1매당 199원에서 244원으로 22.6%가 올라 가격상승률 3위에 올랐다. 돼지고기, 양파, 섬유탈취제, 버터, 고등어 등도 가격이 오른 품목이었다. 반대로 가격이 많이 내린 품목은 무(-44.6％), 당근(-34.0％), 배추(-26.4％), 대파(-17.0％), 풋고추(-14.9％)로 나타났다. 구입처별로 다른 곳보다 비싼 품목을 보면 백화점에서는 감자, 배추, 호박이, 대형마트는 과일주스, 바디워시가 비싸게 팔린다. 린스, 손세정제는 SSM이 상대적으로 비쌌다.저렴한 판매처를 보면 전통시장에서는 당근, 쌈장, 기저귀 등이 다른 곳보다 비교적 싸다. 대형마트에서는 닭고기, 즉석우동, 국수가 상대적으로 저렴하다. SSM에서는 삼치와 초콜릿이 조금 쌌다. 소비자원은 “같은 제품이라도 판매점에 따라 가격 차이가 크기 때문에 생필품 구입에 앞서 참가격 사이트에서 판매가격과 할인정보를 확인하는 것이 좋다”고 말했다.<최민영 기자 min@kyunghyang.com>▶ [경향비즈 바로가기], 경향비즈 SNS [페이스북]  ▶ [인기 무료만화 보기][©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지]"
6,2018.01.19. 오후 12:04,"[올댓차이나] WTO, 중국 미국산 닭고기에 고율관세 부당 판정 ","【서울=뉴시스】이재준 기자 = 세계무역기구(WTO) 분쟁처리소위(패널)는 중국이 미국산 닭고기에 높은 관세를 부과하는 것이 부당하다는 판정을 내렸다고 무역 뉴스 전문 사이트 월드 트레이드가 19일 보도했다.사이트에 따르면 WTO 패널은 전날 중국이 수입 닭고기에 높은 관세를 계속 징수하는 것이 WTO 룰을 어긴다고 제소한 미국의 주장을 대체로 인정했다고 발표했다.미국과 중국은 닭고기를 둘러싸고 서로 자국산 닭고기 수출이 부당한 제한을 받고 있다며 상대방을 WTO에 각각 제소하면서 치열한 통상 분쟁을 벌어왔다.패널은 중국이 2013년부터 미국산 닭고기에 부과한 반덤핑 관세, 보조금에 상당하는 상계관세에 대해 부당히 높게 책정됐다는 WTO 결정이 있었음에도 시정하지 않은 사실을 인정한다는 결론을 내렸다.미중은 이번 결정에 불복할 경우 20일 이내에 상급위원회에 항소할 수 있다.지난 2011년 미국은 자국산 닭고기에 중국이 높은 관세를 부당하게 매기고 있다고 WTO에 제소해 2013년 승소했다.하지만 이후에도 중국이 관세를 충분히 인하하지 않자 WTO 룰을 어겼다면서 2016년 5월 재차 제소했다.이와 관련해 중국 상무부는 2016년 미국산 식용 닭고기에 부과하는 반덤핑 관세를 5년간 연장한다고 발표했다.상무부는 2010년 이래 미국산 식용 닭고기가 보조금을 받아 중국에서 부당하게 싼 가격으로 판매한다는 이유로 46.6~73.8%의 반덤핑 관세를 5년간 징수해왔다.중국은 또한 미국산 식용 닭고기 제품에도 4% 정도의 반보조금 상계관세를 5년간 부과했다.한편 중국은 미국이 중국산 닭고기 수입을 부당하게 규제하고 있다는 이유로 2009년 WTO에 제소, 다음해 승소 판정을 받은 바 있다. yjjs@newsis.com▶ 뉴시스 빅데이터 MSI 주가시세표 바로가기 ▶ 뉴시스 SNS [페이스북] [트위터]<저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>"
7,2018.01.31. 오후 6:30,하림 농가소득 ‘1000의 법칙’ 탄생…축산산업 롤모델," [배종윤 기자(=익산)] 하림이 ‘농가소득 1000의 법칙’이라는 신조어를 탄생시키고 있다.31일 ㈜하림에 따르면 2017년 육계 계열농가 사육소득을 분석한 결과 최근 5개년 간 농가소득이 매년 1000만원 이상 증가하는 고정된 패턴을 완성해 일명 ‘1000의 법칙’을 새롭게 완성했다.농가소득 1000의 법칙은 인터넷이 확장되면서 마이크로 칩의 용량이 매년 2배 이상 증가한다는 ‘무어의 법칙’과 반도체의 메모리 용량이 1년마다 2배씩 증가한다는 삼성전자 황창규 사장의 ‘황의 법칙’과 견줄만한 경이적인 기록이다.실제로 하림 사육본부가 지난해 계열농가 319호 농가를 대상으로 농가당 평균 사육소득을 조사한 결과 1억9100만원으로 지난 2016년 농가 평균 사육소득 1억8,100만원에 비해 정확히 1000만원 증가했다.이 같은 수치는 지난 2013년 1억5100만원, 2014년 1억6200만원, 2015년 1억7100만원, 2016년 1억8100만원, 2017년 1억9100만원으로 지난 5년 동안 꾸준히 1000만원 이상 증가해 ‘1000의 법칙’을 탄생케 했다.또한 농가당 사육소득은 계열화 초창기인 2000년 평균 5000만원에 비해 1억4100만원이 증가해 3.82배 늘었으며, 이 기간 농가 평균 사육규모도 2000년 3만4000수에서 지난해 6만7000수로 1.97배 증가했다.   이처럼 1000의 법칙이 완성된 원인은 ▲농가당 연간 사육회수 증가 ▲계사 3.3㎡ 당 육계 생산량 확대 ▲계사 3.3㎡당 사육소득 확대 등으로 분석되고 있다.농가당 사육회수는 지난 2000년 4.3회전 대비 지난해 6.1회전으로 1.42배 늘었다.이는 육계의 사육기간이 30～34일을 기준으로 연간 4.3회 운영하던 것을 1.42회전 늘린 6.1회로 1.5회 가까이 사육할 수 있어 소득에 직접적인 영향을 주었다.계사 3.3㎡당 사육소득도 2000년 6만2000원의 소득을 올렸으나 2017년엔 17만4000원으로 11만2000원이 올라 2.81배 증가했다.계사 3.3㎡당 육계 생산량도 2000년 369㎏에서 2017년 591㎏으로 2.8배 증가했다.  이밖에 계사 현대화로 농가규모가 대형화되고 사육비 인상 등이 이뤄져 최근 5개년동안 매년 사육농가 소득이 1000만원 이상 증가하는 새로운 패턴이 정착되고 있다.이에 대해 하림은 올해 사육농가 평균 소득이 사상 최초로 2억원 달성을 가능케 하는 수치라며, 최근 10년간 평균 닭고기 가격(도매가)이 3,222원으로 가격변동이 거의 없는 하향 안정적인 상황에서 농가소득은 꾸준히 올라 계열화사업의 성과를 입증하고 있다고 밝혔다.하림은 앞으로도 사육농가 소득향상을 위해 현재 3.3㎡ 당 육계 생산량 591㎏을 네덜란드 1258kg, 덴마크 1055㎏, 일본 850㎏ 등 경쟁국 수준으로 올리고, 사육규모 역시 6만7000수에서 8만수로 늘릴 계획이어서 오는 2020년에는 육계 계열농가 평균소득이 2억2000만원에 도달할 것으로 예상하고 있다.하림 이문용 대표는 “계열화사업이 안정화되면서 사육두수 및 사육횟수 증가, 그리고 단위 면적당 생산량이 증가돼 일명 ‘1000의 법칙’이 완성됐다”며 “앞으로도 계열농가의 소득증대를 위해 계사 가동률을 증가시키는 등 국내 축산산업의 성공적인 롤 모델이 되겠다”고 강조했다. 배종윤 기자(=익산) (baejy1113@daum.net)▶독자가 프레시안을 지킵니다[프레시안 조합원 가입하기]▶네이버 모바일 메인화면에서 프레시안을 만나세요[프레시안 채널 설정하기]▶성역 없는 언론 프레시안에 제보하기Copyrightsⓒ PRESSian.com 무단전재 및 재배포금지"
8,2018.01.31. 오전 10:41,"울산시, 설 명절 농축산물 성수품 수급 대책 추진","			·【울산=뉴시스】조현철 기자 = 울산시는 31일 고유의 민속 명절인 설을 맞아 농축산물의 원활한 수급과 가격 안정 도모를 위해 2월 1일부터 14일까지 설 명절 농축산물 성수품 수급 대책을 추진한다고 밝혔다.  설 명절 농축산물 성수품 수급 대책은 설 명절에 수요가 많은 농축산물 10대 성수품(사과 등) 부족 물량에 대해 농수산물 도매시장, 농수산물 종합유통센터, 농·축협 등을 통한 물량 확보에 나선다.  농축산과장을 단장으로 설 명절 농축산물 성수품 수급 대책반을 꾸려 유통·출하상황을 점검하고 관련기관과 협조체계를 구축해 가격안정을 유도한다. 2월 15일까지 농협중앙회 울산지역본부 등 7개 중앙(지역)농협에서 농축산물 직거래 장터도 운영한다.시중 가격보다 15~25% 정도 저렴하게 농축산물을 살 수 있다.  농축산물 가격 동향을 보면 수급이 불안한 한우·계란을 제외한 채소류, 과일류 등은 원활히 공급될 것으로 예상된다. 배추·한우 가격은 상승하는 반면 사과·배·무·돼지고기·닭고기는 낮게 형성될 전망이다. 농수산가격정보(KAMIS)에 따르면 올해 설 차례상 구입비용은 4인 가족기준 전통시장 이용 때 약 26만2600원 선(전년보다 0.74% 하락)으로 대형마트(37만7344원)보다 10만원 정도 싸다. 한편 시는 농산물품질관리원과 함께 농·축산물 원산지 허위·미표시 등 불법 유통행위 근절 단속활동도 한다. jhc@newsis.com▶ 뉴시스 빅데이터 MSI 주가시세표 바로가기 ▶ 뉴시스 SNS [페이스북] [트위터]<저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>"
9,2018.01.29. 오전 10:39,"미니스톱, 태국 마사만커리 넣은 ‘커리통다리’ 출시 ","태국 마사만커리를 사용해 독특한 향과 풍미 하나만 먹어도 든든한 크기의 ‘커리통다리’ 【서울=뉴시스】김종민 기자 =편의점 미니스톱(대표이사:심관섭)이 마사만 커리의 풍미가 가득한 ‘커리통다리’를 출시했다. 미니스톱은 색다른 맛의 치킨을 원하는 고객의 요구와 외식업계에 불고 있는 글로벌 푸드 유행에 따라 고객에게 특별한 맛을 전달하기 위해 태국 마사만커리를 사용한 ‘커리 통다리’를 개발했다.마사만 커리는 강황에 고추, 셜롯, 마늘, 레몬그라스, 클로브, 코리앤더 등의 향신료를 넣고 코코넛 밀크를 추가해 끓인 태국식 커리다. 마사만 커리는 향긋한 커리에 부드럽고 달콤한 코코넛 밀크의 조화로운 맛이 특징이다. 새롭게 출시하는 ‘커리통다리’는 진하고 독특한 마사만 커리의 풍미와 닭고기의 고소한 맛을 함께 즐길 수 있는 치킨이다. 또한 ‘커리통다리’는 닭다리와 넓적다리 부분이 합쳐진 상품으로 하나만 먹어도 든든함을 느낄 수 있을 뿐 아니라 얇은 튀김옷을 사용해 한입에 튀김의 바삭함과 닭고기의 부드러운 식감을 동시에 즐길 수 있다. 가격은 3300원미니스톱 주식·핫디저트팀 조민수MD는 “평소 맛보기 힘든 마사만커리를 사용해 이국적인 맛을 구현한 상품”이라며 “평범한 프라이드 치킨을 벗어나 새로운 맛의 치킨상품을 적극적으로 개발할 예정”이라고 말했다. jmkim@newsis.com▶ 뉴시스 빅데이터 MSI 주가시세표 바로가기 ▶ 뉴시스 SNS [페이스북] [트위터]<저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>"
