,날짜,기사제목,기사내용
0,2018.07.24. 오전 6:37,'고맙다 더위야' 닭고기 가격 바닥 쳤나?,"			바닥을 모르고 내려가던 닭고기 가격이 최근 상승세를 보이면서 올 하반기 예년 수준으로 올라올 수 있으리라는 조심스러운 전망이 나오고 있습니다.업계에서는 최근 무더위에 따른 일시적 현상일 수 있는 만큼, 무엇보다 다양한 조리법을 개발해 소비를 늘리는 것이 필요하다고 강조합니다.24일 한국농수산식품유통공사(aT) 농산물유통정보에 따르면 닭고기(도계·중품·1㎏ 기준) 소매 가격은 이달 20일 4천828원을 기록했습니다.이는 16일 4천798원보다는 30원, 1개월 전 4천720원보다는 108원이 각각 오른 가격입니다.업계와 농가에서는 최근 닭고기 가격이 바닥을 맴돌면서 '20년 내 최악'이라는 말이 나오곤 했습니다.그나마 올랐다는 이 가격 역시 1년 전 5천179원과 비교하면 351원이나 낮고, 평년 가격 5천595원과 비교하면 그 차이는 더욱 벌어집니다.그만큼 요즘 들어 닭고기 가격 하락세가 컸다는 뜻으로, 안정권에 접어들려면 올라갈 길이 멀다는 이야기입니다.농림축산식품부는 ""육계와 산란계 사육 마릿수가 지난해 같은 기간보다 늘어났다""며 ""닭고기 가격이 최근 다소 상승세를 보이지만, 여전히 평년보다는 낮은 수준""이라고 설명했습니다.업계는 이 같은 가격 상승의 배경으로 우선 이달 17일 초복을 맞아 소비가 늘어났다는 점과 이달 들어 숨 막히는 찜통더위가 이어진다는 점을 듭니다.실제로 이달 17일 기준으로 무더위 탓에 전북·전남·경북 등지에서 닭 75만3천여 마리가 폐사했습니다.이후로도 무더위가 기승을 부리면서 전국 각지에서 닭 폐사 피해는 눈덩이처럼 불어나는 추세입니다.농림축산식품부는 ""닭과 오리 등 가금류는 체온이 41도로 높고 깃털로 덮인 데다가, 땀샘이 발달하지 않아 체온조절이 어렵다""며 ""이번 폭염으로 현재까지 우리나라 전체 닭 가운데 0.62%가 폐사하는 손해를 입었다""고 설명했습니다.업계는 수은주가 올라가면 닭의 생육이 더뎌져 출하 기간이 길어지고, 자연스레 출하량에도 변화가 있다고 지적합니다.복날을 맞아 수요는 늘었는데, 닭 출하가 늦어지면서 가격이 조금 올랐다는 설명입니다.한 육가공업체 닭 사육 담당자는 ""낮 최고기온 25도에서 닭을 1.5㎏까지 키우려면 보통 31∼32일이 걸린다""며 ""그러나 낮 최고기온이 30도까지 오르면 1일, 35도에서는 2∼3일가량이 더 걸린다""고 말했습니다.농림축산식품부 관계자는 ""올해 말복이 다음 달 16일이고, 그 이후에도 다음 달 18일부터 9월 2일까지 제18회 자카르타-팔렘방 아시안게임이 기다리고 있다""며 ""닭 사육 마릿수가 많기는 하지만 이 같은 점을 고려하면 평년보다 약간 낮은 수준 정도로는 올라올 수 있지 않을까 한다. 우선 상황을 지켜보려고 한다""고 전망했습니다.권태훈 기자(rhorse@sbs.co.kr)​☞ [친절한 경제] 전기료 누진제 걱정 없이 에어컨 '빵빵' 트는 팁!☞ [SDF X 김동식 콜라보] <2인 1조> 소설 보러가기※ ⓒ SBS & SBS Digital News Lab. : 무단복제 및 재배포 금지		"
1,2018.07.31. 오후 5:36,‘폭염 때문에‘ 농축산물·채소 등 가격 줄줄이 오른다,"주부들 ‘겁이 나서 시장갈 엄두 안나’[서울신문]연일 계속되는 폭염으로 농축산물과 채소 등 가격이 줄줄이 오를 전망이다.축산물 폐사와 성장장애가 잇따르고, 농작물 고온·가뭄 피해까지 더해져 농축산물 가격이 전월대비 상승세를 기록하고 있다.한국농촌경제연구원은 8월 농축산물 관측을 통해 폭염으로 인한 농축산물 가격이 큰 폭으로 뛰어오를 것이라고 내다봤다. 주부들은 겁이 나서 시장을 갈 엄두도 나지 않는다는 반응들이다.▲ 폭염으로 닭고기 피해 직격타양계농가들이 폭염의 직접적인 피해를 입어 돼지·계란·우유가 상승세다.농림축산식품부 집계결과에 따르면 지난 24일까지 폭염으로 인한 닭 폐사는 지난해 같은 기간보다 11.4% 증가한 133만 수로 집계됐다. 상대적으로 시설 현대화가 미흡한 토종닭의 비중이 큰 것으로 파악됐다. 대닭(1.6㎏ 이상)의 7월 가격은 전월보다 27% 급등했다.8월 육계 산지가격도 폭염으로 인한 대닭 부족 현상이 계속돼 전년보다 0.6∼14.9% 상승한 1400∼1600원(생체 1㎏당)으로 전망된다. 폭염 일수가 길어지면 증체지연, 폐사 등이 잇따라 가격상승 폭은 더 높을 가능성이 크다.돼지 폐사도 잇따라 가격이 전월대비 소폭 상승할 것으로 예상된다.올해 여름 돼지 폐사는 지난해 같은 기간보다 57.8% 증가한 것으로 조사됐다. 출하 체중은 전년보다 0.4% 감소한 것으로 조사돼 무더위로 인하여 비육돈 증체가 지연되고 있는 것으로 나타났다.8월에도 폭염이 계속될 경우 등급판정 마릿수 감소로 가격이 5000∼5300원(1㎏당)대로 소폭 상승할 것으로 예상된다.폭염의 영향으로 계란 가격도 들썩이고 있다.7월(1∼25일) 계란의 산지가격은 비수기인데도 전월대비 115원(특란 10개 기준)가량 오른 776원을 기록했다.폭염과 진드기 피해로 산란율이 저하되고 난중(달걀의 무게)이 감소하는 등 6월 대비 생산량이 떨어졌기 때문이다.8월에도 폭염으로 인한 산란율 저하가 이어지면, 산지가격이 7월보다 상승한 970∼1100원을 기록할 것으로 예상된다.폭염의 영향으로 젖소의 원유 생산량도 감소해 가격에 영향을 미칠 것으로 관측됐다.최근 무더위로 사료 섭취량이 감소해 젖소의 생산성이 저하,원유 생산량은 지난해보다 1∼1.5% 감소할 것으로 보인다. 이에 따라 올해 7∼9월(3분기) 원유 생산량은 전년보다 감소한 49만 7000∼50만t에 그칠 전망이다.▲출하 앞둔 배추·무 등도 폭염 탓에 가격불안고온과 가뭄으로 가격이 상승세인 배추는 8월에도 출하량이 줄 것으로 예상된다.7월 말부터 8월 초 고랭지 배추의 주요 출하 지역인 강원도 삼척, 태백, 정선 지역에는 연일 계속되는 폭염과 가뭄으로 칼슘결핍과 무름병, 바이러스 병해충 발생이 증가해 작황이 좋지 않다.폭염과 가뭄이 이어져 결구(배추 따위의 채소 잎이 여러 겹으로 겹쳐서 둥글게 속이 드는 것을 뜻함)가 늦어져 출하 시기가 지연될 전망이다.8월 초까지 이상고온 현상이 이어질 가능성이 있어 출하가 임박한 배추가 작황 피해를 볼 가능성도 있다.다만 정부가 100∼200t 비축물량을 방출할 계획이어서 가격상승 폭은 평년(7720원)보다 오르지만, 가격이 크게 오른 지난해(1만 3940원) 수준에까지 미치지 못할 것으로 관측됐다.무도 폭염의 영향으로 작황이 부진하긴 마찬가지다. 7월 하순 노지 봄무 출하지역인 충남(당진·예산),경기(평택),전북(무주) 지역은 재배면적이 감소했고, 6∼7월 집중호우와 7∼8월 고온·가뭄 탓으로 작황이 좋지 않다.준고랭지 1기작 무의 주요 출하지역인 경북(안동·봉화), 강원(평창군 진부·봉평 등) 출하량도 지난 5월 파종 시기 집중호우와 폭염으로 병해충 발생이 증가하면서 작황이 부진했다.8월 중하순 출하하는 무도 추가 폭염 피해로 인해 작황이 좋지 않다. 이에 따라 7월 하순∼8월 중순 노지 봄무와 준고랭지 1기작 무의 가격은 평년(1만 2310원)보다 높을 것으로 예상된다.한국농촌경제 연구원 측은 “8월 중순까지 고온·가뭄이 지속할 것으로 예상돼 농작물의 추가 작황 피해가 발생할 가능성이 있다”며 “철저한 작황 관리와 조기출하 등으로 수급 안정을 꾀할 필요가 있다”고 밝혔다.나주 최종필 기자 choijp@seoul.co.kr▶  재미있는 세상[나우뉴스] ▶ [인기 무료만화] [페이스북]ⓒ 서울신문(www.seoul.co.kr), 무단전재 및 재배포금지		"
2,2018.07.23. 오전 11:25,"폭염에 무 28%, 배추 44% 가격 상승","			최근 계속되고 있는 폭염의 영향으로 배추·무 등 채소 가격이 급등하고 있다.23일 농림축산식품부에 따르면 이번 폭염의 영향으로 배추·무 등의 작황이 악화되면서 배추 가격은 평년 대비 28%, 무는 44% 각각 상승했다. 서울의 한 마트에서 소비자들의 무 등 채소를 고르고 있다. 연합배추와 무는 7월 상순까지 평년 수준의 가격을 보였으나 중순부터 폭염의 영향으로 강한 상승세를 보이고 있다. 배추 한 포기의 도매가격은 6월 하순 1561원에서 7월 상순 1828원, 7월 중순 2652원선으로 상승했다. 이는 평년 대비 27.9% 상승한 것이다.무의 도매가격은 6월 하순 개당 1143원에서 이달 중순 1450원으로 올랐다. 이는 평년 대비 43.7% 상승한 것이다.배추의 경우 7월 상순 고랭지 배추의 주산지인 강원 지역에 많은 비가 내리고 이후 폭염이 계속되면서 태백·삼척·정선·평창 등 해발 500~800m의 주요 출하지역에서 무름병 등이 발생, 작황이 악화된 되면서 가격이 상승한 것으로 분석된다고 농식품부는 밝혔다.무의 경우는 재배면적이 평년 대비 9.6% 줄어든 상태에서 폭염으로 작황까지 악화되면서 출하량이 감소, 가격이 급등한 것으로 농식품부는 분석했다.농식품부 관계자는 “배추의 경우 장맛비 이후 28℃이상의 폭염이 이어지면서 무름병 등의 병해와 칼슘 결핍이 발생하면서 생육이 급격히 악화되고, 무는 고온이 지속되면 땅 위 부분은 생육이 저하되고 땅속 부분은 비대해지는 현상이 발생한다”고 설명했다. 애호박·파프리카 등은 출하량이 증가하면서 가격이 평년에 비해 낮은 수준을 유지하고 있지만, 토마토와 수박은 남부 지방의 조기 출하가 종료되고 계절적 수요 증가하면서 가격이 상승세를 보이고 있다. 토마토의 도매가격은 경우 6월 하순 10㎏ 당 1만1761원에서 이달 중순 1만8286원으로 상승했다. 이는 평년 대비 41.2% 비싼 것이다. 수박은 6월 하순 8㎏당 1만1674원에서 7월 중순 1만5287원으로 상승했다. 이는 평년 대비 5.6% 비싼 것이다. 포도 가격은 폐업 증가에 따른 생산량 감소로 평년 대비 8% 비싼 상황을 유지하고 있다. 복숭아 가격은 지난달 이후 꾸준히 오르고 있지만, 평년대비 10.9% 낮게 형성되고 있다.  축산물 중 돼지고기는 무더위에 따른 소비감소로 가격이 하향세를 보이고 있고, 닭고기와 계란 가격은 최근 다소 상승세를 띠고 있으나 여전히 평년보다 낮은 수준을 유지하고 있다. 농식품부는 배추 비축물량(6000t)을 하루 100~150t씩 방출하고, 무 계약재배 물량의 도매시장 출하를 확대하는 등 가격 안정에 적극적으로 나서기로 했다.농식품부 관계자는 “폭염이 장기화되는 경우 일부 채소·과일 등의 가격은 더 오를 수 있다”고 밝혔다.<윤희일 선임기자  yhi@kyunghyang.com>▶ [경향비즈 바로가기], 경향비즈 SNS [페이스북]  ▶ [인기 무료만화 보기][©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지]"
3,2018.07.31. 오전 11:36,"""치킨 프랜차이즈, 닭고기 원가하락에도 우회적 가격 인상""","치킨 [연합뉴스 자료사진] (서울=연합뉴스) 이유미 기자 = 치킨 프랜차이즈 업계가 배달 유료화 등으로 사실상 가격 인상을 단행하고 있다.       주요 프랜차이즈 본사가 닭고기 원가가 하락했는데도 우회적 가격 인상 전략으로 소비자들을 눈속임하고 있다는 비판이 제기된다.     한국소비자단체협의회 물가감시센터는 31일 국내 치킨업계 상위 5개 프랜차이즈의 재무제표 분석을 통해 소비자가격 적정성을 검토했다.     교촌치킨, BHC, BBQ치킨, 굽네치킨, 네네치킨의 손익계산서를 분석한 결과, 가맹본부의 매출액 및 영업이익은 최근 5년간 꾸준히 증가한 것으로 나타났다.     연평균 매출액은 BBQ치킨(6.8%)을 제외한 나머지 4개 업체가 14% 이상 증가했고, 특히 BHC는 26.4%로 가장 큰 폭으로 늘었다.     영업이익의 경우 네네치킨이 5년간 연평균 31.0%로 가장 높은 증가율을 보인 가운데 5개 업체 모두 연평균 5% 이상씩 증가했다.     치킨 프랜차이즈와 유사업계인 피자 프랜차이즈의 손익구조를 비교해 보면, 지난 5년간 치킨 가맹본부의 평균 영업이익률(약 14.7%)이 피자 가맹본부(약 3.1%, 도미노피자·미스터피자·피자에땅 등 3개사)의 4.7배에 달하는 것으로 분석됐다.     치킨 원재료인 닭고기의 연평균 시세는 지난해를 제외하고 2013년부터 2018년까지 하락세를 보였다. 조류인플루엔자 등의 타격이 있었던 지난해에는 전년 대비 4.5% 상승했으나 올해 다시 13.9% 하락세로 돌아섰다.     치킨 프랜차이즈 업계는 치킨 가격에 대한 곱지 않은 여론에 직접적인 가격 인상은 포기하는 듯했지만, 우회적이고 다양한 방법으로 가격 인상을 단행하고 있다.  BHC와 BBQ치킨의 최근 3년간 신메뉴 가격을 살펴보면 기존 오리지널 프라이드 치킨보다 약 6.7∼21.9% 인상된 가격으로 출시됐다.     신메뉴의 높은 가격은 매출·영업이익 증가의 요인이 된다.     실제로 BHC는 2013∼2017년 사이 신메뉴 출시로 인해 영업이익이 평균 43.1% 증가했고, BBQ치킨은 2015년 2월 갈릭스 시리즈와 치즐링 등 2가지 메뉴 출시 이후 영업이익이 전년 대비 558.5% 증가했다.     교촌치킨은 지난해 교촌 라이스라는 세트 메뉴를 출시했는데 제품에 포함된 웨지 감자를 제외하더라도 치킨 자체의 가격이 1천원 인상된 셈이어서 신메뉴 출시로 매출 증대를 꾀하는 다른 업체들의 전략과 크게 다르지 않다.     물가감시센터는 ""주요 원재료인 닭고기 가격이 최근 5년간 하락세를 보였음에도 가격을 인하하기는커녕 기존 메뉴보다 높은 가격에 신메뉴와 세트 메뉴를 출시해 우회적 가격 인상을 시도했다""고 지적했다.     이어 ""내년부터 닭고기 유통가격 공시제도 의무화로 가맹본부가 가맹점에 공급하는 원재료비가 공개될 경우 소비자가 납득하지 못할 수준의 가격 인상은 이루어지지 않을 것""이라고 전망했다.  gatsby@yna.co.kr▶놓치면 아쉬운 '핫뉴스'  ▶퀴즈풀고 상품받고! 뉴스퀴즈쇼 '뉴나'▶네이버 홈에서 [연합뉴스] 채널 구독하기"
4,2018.07.25. 오전 12:05,무더위에 닭고기 가격 반등 조짐,"			‘20년 내 최악’이라는 말이 나올 정도로 바닥을 모르고 내려가던 닭고기 가격에 시름이 컸던 업계가 그칠 줄 모르는 찜통더위에 미소를 되찾고 있다. 보양식 등의 수요가 증가하는데다 무더위로 인한 대규모 폐사까지 더해지면서 올 하반기에는 예년 수준을 회복할 것이라는 전망이 나오고 있기 때문이다.24일 한국농수산식품유통공사(aT) 농산물유통정보에 따르면 닭고기(도계·중품·1㎏ 기준) 소매 가격은 이달 20일 4828원을 기록했다. 1년 전 5179원, 평년 5595원 비교하면 상당히 낮은 수준. 하지만 최근들어 조금씩 반등하며 닭고기 가격이 오름세를 보이고 있는 추세다. 지난 16일에 비해 30원, 1개월 전 4720원보다는 108원이 각각 가격기 오른 것. 업계는 이 같은 가격 상승의 이유로 이달 17일 초복을 맞아 소비가 늘어났다는 점과 이달 들어 숨 막히는 찜통더위, 그리고 스포츠 이벤트를 든다.농림축산식품부 관계자는 “올해 말복이 다음 달 16일이고, 그 이후에도 다음 달 18일부터 9월 2일까지 제18회 자카르타-팔렘방 아시안게임이 기다리고 있다”며 “닭 사육 마릿수가 많기는 하지만 이 같은 점을 고려하면 평년보다 약간 낮은 수준 정도로는 올라올 수 있지 않을까 한다. 우선 상황을 지켜보려고 한다”고 말했다.충북에 폭염 경보가 발효한 지난 17일 오후 음성군 맹동면 양계장에서 닭들이 물을 마시고 있다. 연합뉴스여기에 무더위로 인한 공급 차질도 가격 반등을 부추길 것으로 전망된다. 실제로 이달 17일 기준으로 무더위 탓에 전북·전남·경북 등지에서 닭 75만3000여 마리가 폐사한데 이어 전국 각지에서 닭 폐사 피해는 눈덩이처럼 불어나는 추세다.농림축산식품부는 “닭과 오리 등 가금류는 체온이 41도로 높고 깃털로 덮인 데다가 땀샘이 발달하지 않아 체온조절이 어렵다”며 “이번 폭염으로 현재까지 우리나라 전체 닭 가운데 0.62%가 폐사하는 손해를 입었다”고 설명했다.<이충진 기자 hot@kyunghyang.com>▶ [스포츠경향 인기 무료만화 보기]▶ [지금 옆사람이 보고있는 뉴스]©스포츠경향(sports.khan.co.kr), 무단전재 및 재배포 금지		"
5,2018.07.23. 오전 11:00,폭염으로 무·배추 가격 '급등'…수급 불안정 우려↑,"축산물은 아직 안정 유지…사육 마릿수 증가 영향강원 전역에 폭염경보가 지속 중인 22일 구름위의 땅으로 유명한 강릉시 왕산면 안반데기 고랭지 채소밭이 자라나는 배추와 감자 등으로 푸른 색을 띠고 있다. 2018.7.22/뉴스1 © News1 서근영 기자(세종=뉴스1) 박기락 기자 = 폭염 영향으로 배추와 무 등 일부 채소 가격이 크게 오르고 있다. 폭염이 계속되면 다른 농작물까지 가격이 덩달아 오를 가능성이 있어 당국은 긴급 수급대책에 들어갔다. 23일 농림축산식품부에 따르면 이달 중순 배추는 포기당 2652원, 무는 개당 1450원으로 평년대비 각각 27.9%, 43.7% 올랐다. 배추와 무는 이달 상순까지 평년 수준의 가격이었지만 중순부터 폭염 영향으로 크게 오르고 있다. 배추는 이달 상순 고랭지 배추 주산지인 강원 지역에 많은 비가 내린 이후 폭염으로 주요 출하지역에서 무름병이 발생하는 등 작황이 악화됐다. 무는 노지 봄작형이 주로 출하되고 있으나 재배면적 감소(평년비 9.6%↓)에 폭염으로 작황까지 악화돼 출하량이 줄었다. 토마토와 수박도 상승세를 이어가고 있다. 다만 이 같은 가격 상승은 폭염의 영향보다는 남부 지방의 조기 출하 종료와 계절적 수요가 증가했기 때문으로 풀이된다. 대표적인 여름철 과일인 복숭아, 포도 등은 봉지 씌우기를 하고 있어 아직까지 폭염의 영향이 크지 않은 상황이다. 복숭아는 재배면적 증가 등으로 가격이 평년보다 낮고, 포도는 폐업 증가에 따른 생산량 감소로 평년 대비 높은 수준을 나타내고 있다. 폭염으로 가축 피해가 이어지고 있지만 아직 축산물 가격에 미치는 영향은 미미한 상태다. 돼지고기는 최근 무더위에 따른 소비감소로 가격이 하향세를 보이고 있고 닭고기와 계란 가격은 최근 다소 상승세에 있으나 여전히 평년보다 낮은 수준이다.돼지, 육계와 산란계 사육마릿수가 전년동기대비 모두 증가했으며 현재까지 폭염에 따른 피해 규모도 전체 사육마릿수 대비 돼지 0.07%, 닭 0.62%, 오리 0.44% 수준으로 수급에 미치는 영향이 크지 않은 것으로 분석된다. 농식품부는 폭염 탓에 일부 채소 가격이 상승했으나 전체적인 과일 과채, 축산물 수급에 미치는 영향은 제한적이라고 판단했다. 다만 현재와 같은 고온이 지속될 경우 농축산물의 수급이 불안정해질 가능성이 높아 품목별 수급 안정대책을 추진한다는 방침이다.kirocker@news1.kr▶ [뉴스1] 채널설정하기 ▶ 제보하기▶ [페이스북] 바로가기![© 뉴스1코리아(news1.kr), 무단 전재 및 재배포 금지]"
6,2018.07.26. 오전 9:49,'폭염에 생산성 저하'…8월 닭고기 가격 '상승' 전망 ,"【의성=뉴시스】 = 17일 낮 최고 기온이 37도를 기록한 경북 의성군 안평면 금곡리 소재 양계장에서 산란계 닭들이 먹이를 먹고 있다. 2018.07.18 kjh9326@newsis.com 【나주=뉴시스】이창우 기자 = 폭염이 지속될 경우 생산성 저하로 닭고기 가격이 전년 8월보다 올라갈 것이라는 전망이 나왔다.26일 한국농촌경제연구원(KREI) 농업관측센터 '육계관측 8월호'에 따르면 병아리 생산 증가로 육계(肉鷄) 생산이 지난해 8월 대비 3.8% 증가할 것으로 전망됐지만 폭염이 장기화 될 경우 가격이 상승할 것으로 분석됐다.내달 육계 산지가격은 도축 증가에도 불구하고 폭염 피해에 따른 대체 물량 부족 현상이 지속될 것으로 예상됨에 따라 지난해보다 0.6∼14.9% 상승한 생체 ㎏당 1400∼1600원으로 전망했다.8월 기온이 평년보다 높을 것이라는 기상청 예보에 따라 지난 2016년과 같은 폭염피해(8월 폭염일수 16.7일)가 발생할 경우 생육 지연, 폐사 등으로 가격은 더 상승할 수 있다.도계 마릿수 전망치는 육계와 삼계 사육 마릿수 증가로 지난해 같은 기간보다 3.8% 증가한 9237만 마리다.도계 마릿수 증가로 9∼10월 육계 산지가격은 지난해보다 하락할 것으로 분석 됐다. 9∼10월 도계 마릿수는 병아리 생산 잠재력이 높아 지난해보다 4.7% 증가한 1억 5649만 마리로 전망됐다.8월 닭고기 수입량은 브라질산 위생 문제 해소와 수입 단가 하락으로 지난해보다 7.4% 늘어난 9000t 내외로 예측됐다.농촌연구원 관계자는 ""고온이 지속될 경우 종계 수정율과 산란율에 영향을 줘 8월 이후 병아리 수급에 영향을 미칠 수 있다""며 ""8월 기온이 평년보다 높게 예보됨에 따라 고온 피해 방지를 위한 철저한 사양 관리가 요구된다""고 말했다.lcw@newsis.com▶ 뉴시스 빅데이터 MSI 주가시세표 바로가기 ▶ 뉴시스 SNS [페이스북] [트위터]<저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>"
7,2018.07.24. 오전 3:11,"장보러 가서도 열 받을라… 배추 70%, 계란 39% 가격 급등","[오늘의 세상]폭염에 농축산물값 치솟아연일 계속되는 폭염으로 농산물과 가축에 병충해와 생육 장애, 폐사가 잇따르면서 농축산물 가격이 껑충 뛰고 있다.23일 농림축산식품부에 따르면 폭염이 이어진 지난 보름 사이 배추는 포기당 1561원에서 2652원으로, 무는 개당 1143원에서 1450원으로 각각 70%와 27% 급등했다. 평년과 대비해도 배추는 28%, 무는 44% 비싸다. 7월 초순까지만 해도 배추와 무 가격은 평년 수준을 유지했으나 폭염으로 생육이 나빠지면서 공급이 크게 불안정해졌다. 배추는 섭씨 28도 이상 폭염이 이어지면 무름병과 칼슘 결핍 증상이, 무는 지온이 25~27도 이상일 경우 갈색심부(육질부에 갈색 반점이 생기는 것) 증상이 나타난다.살인적인 더위에 쓰러지는 가축도 급증하고 있다. 23일 현재 전국에서 돼지 7838마리, 닭 118만마리, 오리 4만6000마리 등 125만마리 이상이 폐사했고, 최근 보름간 닭고기와 계란 가격은 각각 27%, 39% 뛰었다. 폭염은 토마토·수박 등 과채류와 복숭아·사과 등 과일류 생육에도 악영향을 끼칠 가능성이 높다.농식품부는 폭염이 장기화할 경우 농가 피해가 커지고 수급이 악화될 가능성이 있다고 보고 수급 안정 TF와 현장기술지원반을 가동하는 한편 배추와 무는 정부 비축 물량을 방출해 가격 안정을 유도할 방침이다.[최규민 기자 qmin@chosun.com] [조선닷컴 바로가기][조선일보 구독신청하기] - Copyrights ⓒ 조선일보 & chosun.com, 무단 전재 및 재배포 금지 -		"
8,2018.07.20. 오후 1:00,여름철 삼겹살·닭 소비 급증에도 ‘가격 안정’,"   여름철을 맞아 돼지 삼겹살과 닭고기의 소비가 늘었지만 가격은 지난해에 비해 안정세를 보이고 있습니다.    축산유통 종합정보센터에 따르면, 삼겹살의 1㎏당 평균 소비자 가격은 22,587원으로 한 달 전보다 16% 올랐지만,    지난해 2만3천원 대였던 것과 비교하면 천 원가량 낮은 수준입니다.    닭 가격 역시 연중 소비가 가장 많은 여름철임에도 육계 1㎏당 소비자 가격은 4,807원으로, 1년 전에 비해 5백 원 가량 낮았습니다.    이같은 가격 안정은 올해 돼지와 닭 사육이 늘면서 공급이 늘어났기 때문으로 분석됩니다.KBS▶ 네이버 채널 KBS뉴스 구독! 시원하게 털어드립니다▶ ‘TV보다 리얼’한 색다른 뉴스![저작권자ⓒ KBS 무단복제-재배포 금지]		"
9,2018.07.24. 오후 1:24,"하락하던 닭고기 가격 최근 상승세…""소비진작 필요""","			하락하던 닭고기 가격 최근 상승세…""소비진작 필요""하락하던 닭고기 가격이 최근 상승세를 보이면서 올 하반기엔 예년 수준으로 올라올 수 있으리라는 전망이 제기되고 있습니다.한국농수산식품유통공사에 따르면 닭고기 소매 가격은 이달 20일 4천820원을 기록했습니다.이 수치는 지난 16일 4천790원보다는 30원, 한달 전 4천720원보다는 100원이 각각 오른 겁니다.업계는 이 같은 가격 상승 배경으로 이달 17일 초복을 맞아 소비가 늘어난 점 등을 들며 다양한 조리법을 개발해 소비를 늘리는 게 필요하다고 말하고 있습니다.연합뉴스TV 기사문의 및 제보 : 카톡/라인 jebo23 ▶ 연합뉴스TV 네이버 채널 구독   ▶ 생방송 시청 ▶ 대한민국 뉴스의 시작, 연합뉴스TV 앱 다운받기"
